,Model,Launch,Micro-archi-tecture,Code name,Fab (nm),Bus interface,Clock rate,Clock rate.1,Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power(GFLOPS),Processing power(GFLOPS).1,API compliance (version),API compliance (version).1,API compliance (version).2,API compliance (version).3,TDP (Watts),Notes
0,Model,Launch,Micro-archi-tecture,Code name,Fab (nm),Bus interface,Core (MHz),Memory (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,Vulkan,TDP (Watts),Notes
1,FirePro W600[200],"June 13, 2012",GCN 1st Gen.,Cape Verde Pro GL,28,PCIe 3.0 x16,750,1000,512:32:16:8,12.0,24.0,2,64,GDDR5,128,768,Up to 55,11.1/12,4.5,1.2,1.0,75,Six Mini DisplayPort
2,FirePro W5000[201],"June 13, 2012",GCN 1st Gen.,Pitcairn LE GL,28,PCIe 3.0 x16,825,800,768:48:32:12,26.4,39.6,2,102.4,GDDR5,256,1267.2,79.2,11.1/12,4.5,1.2,1.0,<75,"Two DisplayPort, One DVI-I"
3,FirePro W7000[202],"June 13, 2012",GCN 1st Gen.,Pitcairn XT GL,28,PCIe 3.0 x16,950,1200,1280:80:32:20,30.4,76.0,4,153.6,GDDR5,256,2432,152,11.1/12,4.5,1.2,1.0,<150,Four DisplayPort
4,FirePro W8000[203],"June 14, 2012",GCN 1st Gen.,Tahiti PRO GL,28,PCIe 3.0 x16,900,1375,1792:112:32:28,28.8,100.8,4,176,GDDR5,256,3225.6,806.4,11.1/12,4.5,1.2,1.0,<225,"ECC RAM, Four DisplayPort + SDI-Link"
5,FirePro W9000[204][205],"June 14, 2012",GCN 1st Gen.,Tahiti XT GL,28,PCIe 3.0 x16,975,1375,2048:128:32:32,31.20,124.8,6,264,GDDR5,384,3993.6,998.4,11.1/12,4.5,1.2,1.0,274,"ECC RAM, Six mini-DisplayPorts + SDI-Link"
