,John McCain,John McCain.1,Barack Obama,Barack Obama.1
0,"In October 2006, McCain said that he believed the former President Bill Clinton and his administration were to blame for the North Korea's weapons of mass destruction. He said that the U.S. had ""concluded an unenforceable and untransparent agreement"", allowing North Korea to keep plutonium rods in a reactor.[115]","In October 2006, McCain said that he believed the former President Bill Clinton and his administration were to blame for the North Korea's weapons of mass destruction. He said that the U.S. had ""concluded an unenforceable and untransparent agreement"", allowing North Korea to keep plutonium rods in a reactor.[115]",,
1,Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
2,,,,
