,Unnamed: 0,user manager,Plugin,Compare,Import,Export,Debugger,Source control,Spatial Visualization
0,Adminer,Yes,Yes,Yes,"SQL script, CSV, TSV or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip, gzip or bzip2","SQL script, CSV, TSV or the above in zip, gzip, bzip2; XML (as a plugin)",No,Git,
1,Altova DatabaseSpy,No,No,Yes,"CSV, XML","XML, XML Structure, CSV, HTML, MS Excel",No,?,
2,DaDaBIK,Some[15],No,No,No,CSV,Yes,No,
3,Database Workbench,Yes,No,Yes,Yes,Yes,Yes,?,
4,DataGrip,No,Yes,Yes,Yes,"TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF",No,Yes,
5,DBeaver,Yes,Yes,Yes,Yes,Yes,No,With Eclipse plugins,
6,DBEdit,No,No,No,No,"MS Excel, PDF, Text, SQL script",No,?,
7,Epictetus,No,Yes,No,No,Excel,No,?,
8,ModelRight,Some,Yes,Yes,"Yes - from supported databases using native interfaces, or from any ODBC source","SQL; XML; DTD; Diagram as BMP, JPEG",No,?,
9,Navicat,Yes,No,Yes,"Yes - TXT, CSV, DBF, HTML, MS Excel, MS Access, Paradox file, WK1, WQ1, XML, or from any ODBC source (See link for limitations[16])","Yes - TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF (See link for limitations[16])",Yes,No,
10,Navicat Data Modeler,No,No,Yes,Yes - Import Database from server/ODBC,Yes - Export SQL,No,No,
11,MySQL Workbench,Yes,Yes,Yes,"Yes - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML","Yes - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML",Yes,No,
12,Oracle SQL Developer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Orbada,No,Yes,Yes,SQL script,"SQL script, CSV, XML, HTML, PDF, Excel, DBF, DataText",No,No,
14,pgAdmin III,Yes,Yes,No,"CSV, Text, or binary","CSV, text, HTML, XML",Yes,No,
15,phpMyAdmin,Yes,Some,Yes,"Yes - CSV, SQL, XML, Excel, ODS","Yes - CSV, LaTeX, Excel, Word, ODS, ODT, XML, SQL, YAML, Texy!, JSON, NHibernate, PHP, PDF, MediaWiki",Yes,Git,
16,SQL Database Studio,Yes,Yes,No,"CSV, XML, MS Excel","CSV, HTML, MS Excel, SQL INSERTS, Tab-separated, XML",No,No,
17,SQLyog,Yes,?,Yes,Yes,Yes,?,?,
18,SQL Server Management Studio,Yes,Yes,?,Yes,Yes,Yes,Yes[17],Yes
19,SQuirreL SQL,?,Yes,Yes,Yes,?,No,?,
20,Toad,Some,No,Yes,Yes,Yes,Yes,"SVN, CVS, TFS, VSS",
21,Toad Data Modeler,No,?,Yes,"Toad for Oracle ERD, ERWin 7.1(XML) via plugin","SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP, JPEG, PNG",No,?,
22,TOra,Some,No,Yes,Yes,Yes,Yes,No,
