,Profile,Element,Trident,Gecko,WebKit[w 3],Blink,Presto,KSVG,Prince XML,Amaya,Adobe SVG Viewer,Batik,Renesis,LeonLabs
0,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,Structure Module,,
1,Tiny,svg,5.0[t 2],1.8,522,?,1.0,Yes,Yes,Yes,1.0,Yes,Yes,1.0
2,Tiny,g,5.0[t 2],1.8,522,?,2.0,Yes,Yes,Yes,1.0,Yes,1.0,1.0
3,Tiny,defs,5.0[t 2],1.8,522,?,2.0,Yes,6.0,?,1.0,Yes,1.0,1.0
4,Tiny,desc,5.0[t 2],1.8,522,?,2.0,No,No,?,1.0,Yes,1.0,1.0
5,Tiny,title,5.0[t 2],1.8,522,?,2.0,No,No,?,3.0,Yes,1.0,1.0
6,Tiny,metadata,5.0[t 2],1.8,522,?,2.0,?,No,?,2.0,Yes,1.0,1.0
7,Tiny,use,5.0[t 2],1.8,Yes[w 4],?,2.0,No,6.0,Yes,1.0,Yes,0.6,1.0
8,Basic,symbol,5.0[t 2],1.8,522,?,2.0,No,6.0,?,1.0,Yes,0.6,1.0
9,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,Conditional Processing Module,,
10,Tiny,switch,Yes,1.8,522,?,2.0,?,No,?,2.0,Yes,No,1.0
11,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,Image Module,,
12,Tiny,image,5.0[t 2],2.0[g 5],522,?,2.0,No,5.1,4.0,1.0,Yes,0.5,1.0
13,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,Style Module,,
14,Tiny,style,5.0[t 1],1.8,522,?,2.0,?,Yes,Yes,1.0,Yes,0.6,1.0
15,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,Shape Module,,
16,Tiny,circle,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
17,Tiny,ellipse,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
18,Tiny,line,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
19,Tiny,path,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
20,Tiny,polygon,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
21,Tiny,polyline,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,1.0,1.0
22,Tiny,rect,5.0[t 2],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,0.6,1.0
23,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,Text Module,,
24,Tiny,text,5.0[t 1],1.8,522,?,2.0,Yes,5.1,4.0,1.0,Yes,0.7,1.0
25,Basic,tspan,5.0[t 1],1.8,522,?,2.0,Yes,Yes,4.0,1.0,Yes,0.7,1.0
26,Basic,tref,5.0[t 1],No[g 6],522,?,2.0,Yes,No,6.3,1.0,Yes,0.6,1.0
27,Basic,textPath,5.0[t 1],1.8.1,522,?,2.0,Yes,No,4.0,1.0,Yes,No,1.0
28,Full,altGlyph,5.0[t 1],Partial[g 7][g 8],Partial,?,2.2,?,No,4.0,2.0,Yes,No,1.0
29,Full,altGlyphDef,5.0[t 1],No,No,?,2.2,?,No,4.0,2.0,Yes,No,1.0
30,Full,altGlyphItem,5.0[t 1],No,No,?,?,?,No,4.0,No,Yes,No,1.0
31,Full,glyphRef,5.0[t 1],No,No,?,2.2,?,No,4.0,2.0,Yes,No,1.0
32,Profile,Element,Trident,Gecko,WebKit,Blink,Presto,KSVG,Prince XML,Amaya,Adobe SVG Viewer,Batik,Renesis,LeonLabs
33,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,Marker Module,,
34,Full,marker,5.0[t 1],1.8,522,?,2.0,?,6.0,?,3.0,Yes,1.0,1.0
35,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,Color Profile Module,,
36,Full,color-profile,No,No[g 9],No[w 5],?,No,No,No,?,3.0,Yes,No,1.0
