,Country,Unamanned rendezvous,Unamanned rendezvous.1,Manned rendezvous,Manned rendezvous.1
0,Country,Spacecraft involved,Year,Spacecraft involved,Year
1,China,Shenzhou 8 & Tiangong 1,2011,Shenzhou 9 & Tiangong 1,2012
2,India,SPADEX,2020 (Planned),,
