,Country,Resolution,Satellite,Year launched
0,Japan,0.5 meter,IGS R-5,2017
1,India,0.5 meter x 0.3 meter(For 3D imaging),RISAT-2B,2019
2,Israel,0.5,TecSAR,2008
3,China,0.5 meter,Yaogan 29,2015
4,South Korea,1 meter,KOMPSat-5,2013
