,Model[127],Launch,ArchitectureFab,Core,Core.1,Fillrate[a][b],Fillrate[a][b].1,Processing power[c](GFLOPS),Memory,Memory.1,Memory.2,Memory.3,TDP (Watts),Bus interface
0,Model[127],Launch,ArchitectureFab,Config[d],Clock (MHz),Pixel (GP/s),Texture (GT/s),Processing power[c](GFLOPS),Size (MiB),Bus type &width (bit),Clock (MHz),Bandwidth (GB/s),TDP (Watts),Bus interface
1,Radeon HD 6330M(Robson LP)[128],November 2010,TeraScale 240 nm,80:8:4,500,2.0,4.0,80,1024,DDR364-bit,800,12.8,7,PCIe 2.1 x16
2,Radeon HD 6350M(Robson Pro)[128],November 2010,TeraScale 240 nm,80:8:4,500,2.0,4.0,80,1024,DDR364-bit,800900,12.814.4,7,PCIe 2.1 x16
3,Radeon HD 6370M(Robson XT)[128],November 2010,TeraScale 240 nm,80:8:4,750,3.0,6.0,120,1024,DDR364-bit,900,14.4,11,PCIe 2.1 x16
4,Radeon HD 6430M(Seymour LP)[129],January 2011,TeraScale 240 nm,160:8:4,480,1.92,3.84,153.6,1024,DDR364-bit,800,12.8,Unknown,PCIe 2.1 x16
5,Radeon HD 6450M(Seymour Pro)[129],January 2011,TeraScale 240 nm,160:8:4,600,2.4,4.8,192,1024,DDR364-bit,800,12.8,Unknown,PCIe 2.1 x16
6,Radeon HD 6470M(Seymour XT)[129],January 2011,TeraScale 240 nm,160:8:4,700750,2.83.0,5.66.0,224240,1024,DDR364-bit,800800,12.8,Unknown,PCIe 2.1 x16
7,Radeon HD 6490M(Seymour XT)[129],January 2011,TeraScale 240 nm,160:8:4,800,3.2,6.4,256,512,GDDR564-bit,800,25.6,Unknown,PCIe 2.1 x16
8,Radeon HD 6530M(Capilano Pro)[130],November 2010,TeraScale 240 nm,400:20:8,500,4.0,10.0,400,1024,DDR3128-bit,900,28.8,26,PCIe 2.1 x16
9,Radeon HD 6550M(Capilano Pro)[130],November 2010,TeraScale 240 nm,400:20:8,600,4.8,12.0,480,1024,DDR3128-bit,900,28.8,26,PCIe 2.1 x16
10,Radeon HD 6570M(Capilano XT)[130],November 2010,TeraScale 240 nm,400:20:8,650,5.2,13.0,520,1024,DDR364-bitGDDR5 128-bit,900,28.857.6,30,PCIe 2.1 x16
11,Radeon HD 6630M(Whistler LP)[131],January 2011,TeraScale 240 nm,480:24:8,485,3.88,11.64,465.6,256(mac) 1024,GDDR5128-bit(mac) DDR3,800,51.2 (mac) 25.6,Unknown,PCIe 2.1 x16
12,Radeon HD 6650M(Whistler Pro)[131],January 2011,TeraScale 240 nm,480:24:8,600,4.8,14.4,576,1024,DDR3128-bit,900,28.8,Unknown,PCIe 2.1 x16
13,Radeon HD 6730M(Whistler XT)[131],January 2011,TeraScale 240 nm,480:24:8,725,5.8,17.4,696,1024,DDR3128-bit,800,25.6,Unknown,PCIe 2.1 x16
14,Radeon HD 6750M(Whistler Pro)[131],January 2011,TeraScale 240 nm,480:24:8,600,4.8,14.4,576,256 5121024,GDDR5128-bit,800 900,51.2 57.6,Unknown,PCIe 2.1 x16
15,Radeon HD 6770M(Whistler XT)[131],January 2011,TeraScale 240 nm,480:24:8,725,5.8,17.4,696,1024,GDDR5128-bit,900,57.6,Unknown,PCIe 2.1 x16
16,Radeon HD 6830M(Granville Pro)[132],January 2011,TeraScale 240 nm,800:40:16,575,9.2,23.0,920,2048,DDR3128-bit,800,25.6,39,PCIe 2.1 x16
17,Radeon HD 6850M(Granville XT)[132],January 2011,TeraScale 240 nm,800:40:16,675,10.8,27.0,1080,2048,DDR3128-bit,800,25.6,50,PCIe 2.1 x16
18,Radeon HD 6850M(Granville Pro)[132],January 2011,TeraScale 240 nm,800:40:16,575,9.2,23.0,920,1024,GDDR5128-bit,800,57.6,39,PCIe 2.1 x16
19,Radeon HD 6870M(Granville XT)[132],January 2011,TeraScale 240 nm,800:40:16,675,10.8,27,1080,1024,GDDR5128-bit,1000,64,50,PCIe 2.1 x16
20,Radeon HD 6950M(Blackcomb Pro)[133],January 2011,TeraScale 240 nm,960:48:32,580,18.56,27.84,1113.6,2048,GDDR5256-bit,900,115.2,50,PCIe 2.1 x16
21,Radeon HD 6970M(Blackcomb XT)[133],January 2011,TeraScale 240 nm,960:48:32,680,21.76,32.64,1305.6,2048,GDDR5256-bit,900,115.2,75,PCIe 2.1 x16
22,Radeon HD 6990M(Blackcomb XTX)[134],July 2011,TeraScale 240 nm,1120:56:32,715,22.88,40.04,1601.6,2048,GDDR5256-bit,900,115.2,75,PCIe 2.1 x16
