,Distribution,Free software repositories,Approximate number of pre-compiled packages,Approximate number of source packages,Default package management tool(s),Package format,Default installer,Graphical installation process,Netinstall,Netboot
0,Alpine Linux,"Free, and nonfree","8,135[169]",?,apk,.apk,setup-alpine,No,?,?
1,ALT Linux,"Free, and nonfree","8,300[170]",?,"APT (APT-RPM), RPM",RPM,,Yes,?,?
2,Arch Linux,"Free, and nonfree","10,700[171]","56,500 from AUR[172]",Pacman,.pkg.tar.xz,None (third-party install scripts only),No,Yes,iPXE
3,BLAG,Free only,"10,000[173]",?,"RPM, yum, APT",RPM,,Yes,No,No
4,Bodhi Linux,"Free, and nonfree",35000,?,APT,.dpkg,Ubiquity,Yes,?,?
5,CentOS,"Free, and nonfree","17,565[174]",?,"RPM, yum/up2date",RPM,Anaconda,Yes,Yes,?
6,Chakra,"Free, and nonfree","3,074[175]","CCR: 4,663[176]",Pacman (will be replaced by Akabei in future),.pkg.tar.xz,,Package manager in development,?,?
7,ClearOS,"Free, and nonfree",?,?,"RPM, yum",RPM,,No,?,?
8,CrunchBang Linux,"Free, and nonfree",23000,?,APT,.deb,,Yes,?,?
9,Damn Small Linux,"Free, and nonfree",610,?,"myDSL, APT",".dsl, .tar.gz, .uci, .unc, .deb",,No,?,?
10,Debian,"Free, and nonfree","89,103[177]","21,041[a]",APT,.deb,Debian-Installer,Yes,Yes,PXE
11,Devuan,"Free, and nonfree",?,?,APT,.deb,Debian-Installer,Yes,Yes,PXE
12,Dragora GNU/Linux-Libre,Free only,484,?,pkgsystem,.tlz,?,No,No,No
13,dyne:bolic,Free only,?,?,APT,.deb,Debian-Installer,Yes,No,No
14,Fedora,"Free, and nonfree","20,000 [178]","25,041[179]","DNF, yum, PackageKit",RPM,Anaconda,Yes,Yes,?
15,Gentoo,"Free, and nonfree",108[180],"19,092[181][b]",Portage,".ebuild, .tbz2",None (third-party install scripts only),Yes[c],Yes,PXE
16,gNewSense,Free only,?,?,APT,.deb,Debian-Installer,Yes,Yes,No
17,gnuLinEx,"Free, and nonfree",200,?,APT,.deb,,Yes,?,?
18,Guix,Free only,"9,714[182]",9714,Guix,".scm, .go",guix system init,Yes[183],Yes,No
19,Hyperbola GNU/Linux-libre,Free only,"14,494[184]",?,Pacman,.pkg.tar.xz,None (third-party install scripts only),No,Yes,?
20,Knoppix,"Free, and nonfree",3600,?,APT,.deb,,No,?,?
21,LibreCMC,Free only,826,?,?,?,,No,No,No
22,Linux Mint,"Free, and nonfree",50781,?,APT,.deb,Ubiquity,Yes,?,?
23,Mageia,"Free, and nonfree","17,283 (i586), 11,409 (x86-64)[185]","8,834[186]","urpmi, rpmdrake",RPM,DrakX,Yes,Yes,?
24,Mandriva Linux,"Free, and nonfree",22600,?,"urpmi, rpmdrake",RPM,DrakX,Yes,?,?
25,Manjaro Linux,"Free, and nonfree",?,? from AUR[172],Pacman,.pkg.tar.xz,Calamares[187],Yes[188],Yes,iPXE
26,MEPIS,"Free, and nonfree",20000,?,APT,.deb,MEPIS Install,Yes,?,?
27,Musix GNU+Linux,Free only,1819,?,APT,.deb,Debian-Installer,Yes,No,No
28,OpenELEC,"Free, and nonfree",140[189],?,"XBMCbuntu addon manager, own and 3rd party addons",.zip,,Yes,?,?
29,openSUSE,"Free, and nonfree",34000,"34,000[190]","YaST, Zypper",RPM,YaST,Yes,Yes,?
30,OpenWrt,"Free, and nonfree",2000,?,opkg,.ipk,-,No,?,?
31,Parabola GNU/Linux-libre,Free only,"23,000[191]",?,Pacman,.pkg.tar.xz,None (third-party install scripts only) or Calamares,Yes,Yes,?
32,Pardus,"Free, and nonfree",4000,?,PiSi,.pisi,YALI,Yes,?,?
33,Parsix,"Free, and nonfree",29000,14900,APT,.deb,,Yes,?,?
34,PCLinuxOS,"Free, and nonfree",12000,?,"APT, RPM",RPM,,Yes,?,?
35,Puppy,"Free, and nonfree",700,?,"PupGet, DotPup",".pup, .pet",,Yes,?,?
36,Red Hat Enterprise Linux,"Free, and nonfree","3,000 (plus 9,155 from EPEL[192])",?,"RPM, yum",RPM,Anaconda,Yes,?,?
37,Rxart,"Free, and nonfree",5000,?,APT,.deb,,Yes,?,?
38,Sabayon Linux,"Free, and nonfree",">13,130",?,"Portage, Entropy","ebuild, .tbz2",Calamares,Yes,?,?
39,Scientific,"Free, and nonfree",?,?,APT/yum,RPM,,Yes,?,?
40,Slackware,"Free, and nonfree",2292,"7,705 from SlackBulids[193]",slackpkg,"tgz, .txz, .tlz, .tbz",bash script[194],No,Yes,Yes
41,Slax,"Free, and nonfree",2050,?,none,.lzm,,,?,?
42,SliTaz GNU/Linux,"Free, and nonfree","3,381[195]",?,Tazpkg,.tazpkg,tazinst,Yes,iPXE,iPXE
43,Solus,"Free, and nonfree",9500,?,eopkg,.eopkg,os-installer,Yes,No,No
44,Source Mage GNU/Linux,"Free, and nonfree",118,8876,Sorcery Package Manager,src,,Yes,?,?
45,SUSE Linux,"Free, and nonfree",24094,11385,"YaST, Zypper",RPM,YaST,Yes,?,?
46,Tiny Core Linux,"Free, and nonfree",25160,?,"ab, tce-load",tcz,"tc-install, core2usb",Yes,?,?
47,Tiny SliTaz,"Free, and nonfree",50,?,Web site[196],tazpkg,,No,?,iPXE
48,Tor-ramdisk,"Free, and nonfree",?,?,none,none,,No,?,?
49,Trisquel,Free only,"52,748[197]",?,APT,.deb,Ubiquity,Yes,Yes,?
50,TurnKey GNU/Linux,"Free, and nonfree","57,290[177] plus ≈30 custom packages","21,041[d] (currently TurnKey only supplies source code for custom packages)",APT,.deb,DI-Live (custom fork of Debian Installer),No,No,No
51,"Ubuntu, Kubuntu, Xubuntu","Free, and nonfree","88,367[198]","24,474[e]",APT,.deb,Ubiquity,Yes,Yes,PXE
52,Ututo,Free only,5000,?,UTUTO Package Manager,ebuild,?,?,No,No
53,Vector Linux,"Free, and nonfree",?,?,"slapt-get, gslapt, installpkg",tgz,,Yes,?,?
54,Void Linux,"Free, nonfree and multilib",6000,6719,xbps,.xbps,ncurses script,Yes,Yes,No
55,XBMC Live,"Free, and nonfree",?,?,APT,.deb,,No,?,?
56,Zentyal,"Free, and nonfree",?,?,APT,.deb,dpkg,Yes,?,?
57,Zenwalk,"Free, and nonfree",2000,?,"netpkg, installpkg, upgradepkg","tgz, txz",,Yes,?,?
58,Distribution,Free software repositories,Approximate number of pre-compiled packages,Approximate number of source packages,Default package management tools,Package format,Default installer,Graphical installation process,Netinstall,Netboot
