,IDE,License,Developer,Latest stable release,Windows,Linux,macOS,Other platforms
0,Microsoft Visual Studio,Proprietary Community Edition: Freeware,Microsoft,"16.0.2 / April 18, 2019",Yes,No,No,
1,MonoDevelop,LGPL,Xamarin and the Mono community,"6.1.2.44 / November 11, 2016",Yes,Yes,Yes,"FreeBSD, OpenBSD, Solaris"
2,SharpDevelop,LGPL,IC#Code Team,"5.1 / April 14, 2016",Yes,No,No,
3,SlickEdit,Proprietary,SlickEdit,October 2016,Yes,Yes,Yes,"Solaris, Solaris SPARC, AIX, HP-UX"
4,Understand,Proprietary,SciTools,"814 / December 4, 2015",Yes,Yes,Yes,Solaris
5,Visual Studio Code,source code(MIT License) - binary(Proprietary),Microsoft,"1.40.1 / November 13, 2019",Yes,Yes,Yes,
6,Xamarin Studio,source code(MIT License) - binary(Proprietary),Microsoft,December 2016,Yes,Yes,Yes,
7,Eclipse,EPL,Eclipse Foundation,"4.7 / June 28, 2017",Yes,Yes,Yes,
8,Rider,Proprietary,JetBrains,"2017.2 / October 12, 2017",Yes,Yes,Yes,
