,Attribute,Element,Alternative solution,Trident,Gecko,WebKit,KHTML,Presto
0,align,"caption, div, fieldset, h1, h2, h3, h4, h5, h6, hr, img, input, legend, p, object, table",CSS,3.1,Yes,Yes,Yes,Yes
1,alink,body,CSS,3.1,Yes,No,Yes,Yes
2,background,body,CSS,3.1,Yes,Yes,Yes,Yes
3,bgcolor,"body, table, tr, td, th",CSS,3.1,Yes,Yes,Yes,Yes
4,border,"img, object",CSS,3.1,Yes,Partial[note 8],Yes,Yes
5,clear,br,CSS,3.1,Yes,No,Yes,Yes
6,compact,"dl, ul, ol",CSS,No,No,No,Yes,Yes
7,color,"basefont, font",CSS,3.1,Partial[note 9][7],Partial[note 9],Yes,Yes
8,height,"td, th",CSS,3.1,Yes,Yes,Yes,Yes
9,hspace,"img, object",CSS,3.1,Yes,Yes,Yes,Yes
10,language,script,The type attribute,3.1,No[citation needed],Yes,Yes,Yes
11,link,body,CSS,3.1,Yes,Yes,Yes,Yes
12,noshade,hr,CSS,3.1,Yes,Yes,Yes,Yes
13,nowrap,"td, th",CSS,3.1,Yes,Yes,Yes,Yes
14,size,"basefont, font, hr",CSS,3.1,Yes,Yes,Yes,Yes
15,start,ol,None,3.1,Yes,Yes,Yes,Yes
16,text,body,CSS,3.1,Yes,Yes,Yes,Yes
17,type,"li, ul, ol",CSS,3.1,Yes,Yes,Yes,Yes
18,version,html,DTD,No,No,No,No,No
19,vlink,body,CSS,Yes,Yes,Yes,Yes,Yes
20,width,"hr, pre, td, th",CSS,Yes,Yes,Yes,Yes,Yes
21,vspace,"img, object",CSS,Yes,Yes,Yes,Yes,Yes
