,Element,Function,Supported first by,Deprecated in HTML version,Alternative solution,Trident,Gecko,WebKit,KHTML,Presto
0,applet,Insert an applet,HotJava,4[6],"embed, object",<3.1[IE 4.0],1.7,Yes,Yes,1.0
1,basefont,Sets font styles,Internet Explorer,4,CSS,<3.1[IE 3.0],No[7],85,Yes,Yes
2,center,Centers contents,Netscape[8],4,CSS,3.1,Yes,Yes,Yes,Yes
3,dir,Directory list,?,4,"ul, ol",3.1,Yes,Yes,Yes,Yes
4,font,Applies font styles,Netscape,4,CSS,3.1,Yes,Yes,Yes,Yes
5,isindex[9],Adds a search field,?,4,"input type=""search""",<3.1[IE 5.5],1.7,312,Yes,Partial
6,listing,Displays preformatted text,IETF,2,"pre, samp, code, CSS",3.1,1.7,125,3.3,Yes
7,menu,Menu list,?,4,"ul, ol",3.1,Yes,Yes,Yes,Yes
8,plaintext,"Designates that all HTML be ignored, and to display the page as is",?,3.2,The text/plain MIME type,3.1,Yes,Yes,Yes,Yes
9,s,Strike-through,?,4,"del, CSS",<3.1[IE 4.0],1.7,Yes,Yes,1.0
10,strike,Strike-through,?,4,"del, CSS",<3.1[IE 4.0],1.7,Yes,Yes,1.0
11,u,Underline,?,4,CSS,<3.1[IE 4.0],1.7,Yes,Yes,1.0
12,xmp,"Similar to pre and plaintext, but ignores all HTML within and displays as is",?,2,"pre, samp, code",<3.1[IE 3.0],1.7,125,3.3,1.0
