,Name,"Raster images (JPEG, TIFF, etc.)",Flash viewer,Java viewer,QTVR,HTML 5*,Notes
0,Panoweaver Standard / Professional,Yes,Yes,Yes,Yes,Yes,Includes free Flash and HTML5 viewer.
1,Dermandar,Yes,Yes,No,No,Yes,Includes free Flash and HTML5 viewer.
2,i2Align Quickage Express / Pro,Yes,No,No,No,No,
3,Pixtra PanoStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
4,Pixtra OmniStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
5,QuickPHOTO,Yes,No,No,No,No,
6,PhotoFit Harmony / Premium,Yes,No,No,Yes,No,
7,PanoramaPlus X4,Yes,No,No,Yes,No,Flickr export.
8,PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,Yes,Yes*,No,No,No,(*) Planar viewer.
9,360 Panorama Professional,Yes,No,Yes,Yes,No,
10,VRstitcher Fisheye Pro,Yes,No,Yes,?,No,
11,COOL 360[26],Yes,No,No,Yes,No,Embedding of panoramas into executables (.exe) and Microsoft Office files. ActiveX viewer.
12,PanaVue ImageAssembler Std. / Pro. / Ent.,Yes,Yes,Yes,Yes,No,
13,The Panorama Factory v5,Yes,No,Yes,Yes,No,
14,PixMaker Lite / Home / Business,Yes,?,?,?,No,
15,PTAssembler,Yes,No,No,No,No,
16,PTgui / PTgui Pro,Yes,No,No,Yes,Yes[27],
17,Autopano Pro / Giga / Server,Yes,Yes,No,No,No,
18,Autostitch,Yes,No,No,No,No,
19,Calico,Yes,No,?,?,?,
20,Hugin,Yes,No,No,No,No,
21,3DVista Stitcher 3.0,Yes,No,No,No,No,
22,D Joiner,Yes,?,Yes,No,No,
23,Panorama Maker 6,Yes,Yes,Yes,Yes,No,
24,Photovista Panorama,Yes,No,Yes,No,No,IVR export.
25,PanoramaStudio / pro[28],Yes,Yes,Yes,No,Yes,
26,Stitcher Unlimited 2009,Yes,Yes,Yes,Yes,No,VRML export.
27,ADG Panorama Tools / Pro,Yes,No,Yes,Yes,No,
28,Panorama Composer 3,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
29,Image Composite Editor,Yes,No,No,No,No,"Publish to Photosynth website, Silverlight based viewer."
30,Panorama Perfect,Yes,No,No,No,No,
31,Photoshop,Yes,No,No,No,No,
32,AIPR Lite 1,Yes,No,No,No,No,
33,Gigapan Stitch 1.0,Yes,Yes,No,No,No,3D viewer in stitcher / Publishing to gigapan.org 2D flash viewer / Embeddable flash viewer
34,PanoramaMaker,Yes,No,No,No,No,
35,PanoEdit,Yes,No,No,No,No,
36,SharpStitch,Yes,No,No,No,No,
37,Pano2VR / Pano2VR pro,Yes,Yes,No,Yes,Yes,
38,Name,"Raster images (JPEG, TIFF, etc.)",Flash viewer,Java viewer,QTVR,HTML 5*,Notes
