,kernel,HP,HP.1,HP.2,Softbank/ARM Holdings,Softbank/ARM Holdings.1,Intel,Intel.1,Intel.2,Intel.3,Tallwood MIPS,Tallwood MIPS.1,IBM,IBM.1,IBM.2,IBM.3,Renesas Electronics,Renesas Electronics.1,Renesas Electronics.2,Renesas Electronics.3,Renesas Electronics.4,Renesas Electronics.5,Renesas Electronics.6,Oracle,Oracle.1,Oracle.2,NXP,NXP.1,Analog Devices,Xilinx,Cadence,Cadence.1,Canon/Axis Comm.,Socionext,Socionext.1,Microchip/Atmel,CML/ Hyperstone,Intel/Altera,Intel/Altera.1,Intel/Altera.2,WDC,Sunplus Technology,Mellanox,TI
0,kernel,VAX,Alpha,PA-RISC,ARM,ARM,x86,x86,i960,IA-64,MIPS,MIPS,PowerPC,PowerPC,S/390,z/Arch,H8300,M16C,M32R,78K,V850,SuperH,SuperH,SPARC,SPARC,SPARC,m68k,m68k,Blackfin (no-mmu),MicroBlaze,Xtensa,Xtensa,ETRAX CRIS,FR-V,MN10300,AVR32,E1 (no-mmu),Nios (no-mmu),Nios II,Nios II,WDC 65C816,S+core,Tilera,C6X
1,kernel,VAX,Alpha,PA-RISC,mmu,no-mmu,x86,x86-64,i960,IA-64,mmu,no-mmu,32-bit,64-bit,S/390,z/Arch,H8300,M16C,M32R,78K,V850,mmu,no-mmu,32-bit,64-bit,no-mmu,mmu,no-mmu,Blackfin (no-mmu),MicroBlaze,mmu,no-mmu,ETRAX CRIS,FR-V,MN10300,AVR32,E1 (no-mmu),Nios (no-mmu),mmu,no-mmu,WDC 65C816,S+core,Tilera,C6X
2,DragonFly BSD kernel,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,FreeBSD kernel,No,No,No,Yes,?,Yes,Yes,?,Yes,Yes,No,Yes,Yes,No,No,?,?,?,?,?,No,No,No,Yes,?,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,Linux kernel,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,4.16 and below only[34],No,2.6 and below only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.16 and below only[34],Yes,Yes,Yes,4.16 and below only[34],4.16 and below only[34],4.16 and below only[34],4.12 and below only,No,No,Yes,Yes,No,4.16 and below only[34],4.16 and below only[34],Yes
5,MINIX 3 kernel,?,No,No,Yes,?,Yes,In progress,No,No,In progress,?,No,No,No,No,No,?,No,?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,NetBSD kernel,Yes,Yes,Yes,Yes,No[35],Yes,Yes,?,Yes,Yes,No[35],Yes,No,No,No,?,?,?,?,?,Yes,No[35],Yes,Yes,No[35],Yes,No[35],?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,NetWare kernel,No,No,No,No,No,Yes,No,?,No,No,No,No,No,No,No,?,?,?,?,?,No,No,No,No,No,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,OpenBSD kernel,No,Yes,Yes,Yes,?,Yes,Yes,?,No,Yes,?,Yes,No,No,No,?,?,?,?,?,Yes,?,Yes,Yes,?,Yes,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,Rockbox kernel,?,?,?,Yes,?,?,?,?,?,Yes,?,?,?,?,No,?,?,?,?,?,Yes,?,?,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,Solaris kernel,No,No,No,No,No,Yes,Yes,?,No,No,No,No,No,No,No,?,?,?,?,?,No,No,Yes,Yes,?,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,Windows NT kernel,No,NT 5.0 RC1 and below only,No,Yes,No,Yes,Yes,No,XP and 2003-2008 R2 only,NT 4.0 and below only,No,NT 3.51 and NT 4.0 only,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,Windows CE kernel,No,No,No,Yes,?,Yes,?,No,No,Yes,?,No,No,No,No,No,?,No,?,No,Yes,?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13,XNU,No,No,No,Yes,?,Yes,Yes,?,No,No,No,Yes,Yes,No,No,?,?,?,?,?,No,No,No,No,No,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,SPARTAN kernel,?,No,No,Yes,?,Yes,Yes,?,Yes,Yes,?,Yes,No,No,No,?,?,?,?,?,No,No,Yes,Yes,?,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,FreeRTOS kernel,?,?,?,?,Yes[36],?,?,?,?,?,?,Yes[36],?,?,No,Yes[36],?,?,Yes[36],Yes[36],?,Yes[36],?,?,?,?,?,Yes[36],Yes[36],?,?,?,?,?,Yes[36],?,?,?,Yes[36],?,?,?,?
