,Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
0,AIMP,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
1,Amarok,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,Audacious,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
3,Audion,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,cmus,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,Cog,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6,foobar2000,No,No,No,No,No,No,Yes (plugin),?,?,Yes (plugin),Yes (plugin),Yes (plugin),Yes (plugin),Yes (plugin)
7,JuK,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,JRiver Media Center,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,MediaMonkey,?,?,?,?,?,?,?,?,?,?,?,Yes (Winamp plugin),Yes (Winamp plugin),Yes (Winamp plugin)
10,MPXPLAY,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,MusicBee,?,?,?,?,?,?,?,?,?,?,?[f],Yes,?,?
12,Musicmatch Jukebox,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,musikCube,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,Rhapsody,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,Rhythmbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,Sonique,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,XMMS,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,Zinf,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
