,No.,Country,Spacecraft,Year
0,1,India,Mars Orbiter Mission,2013[89]
1,TBD,Japan,Nozomi,1998 (Failed)
2,TBD,Japan,Mars Terahertz Microsatellite,2020
3,TBD,China,Yinghuo-1,2011 (Failed)[90]
4,TBD,China,Mars Global Remote Sensing Orbiter and Small Rover,2020 (Planned)
5,TBD,United Arab Emirates,Hope Mars Mission,2020 (Planned)
