,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,MovieTweetings,Movie rating dataset based on public and well-structured tweets,,"~710,000",Text,"Classification, regression",2018,[180],S. Dooms
1,Twitter100k,Pairs of images and tweets,,100000,Text and Images,Cross-media retrieval,2017,[181][182],"Y. Hu, et al."
2,Sentiment140,"Tweet data from 2009 including original text, time stamp, user and sentiment.",Classified using distant supervision from presence of emoticon in tweet.,1578627,"Tweets, comma, separated values",Sentiment analysis,2009,[183][184],A. Go et al.
3,ASU Twitter Dataset,"Twitter network data, not actual tweets. Shows connections between a large number of users.",None.,"11,316,811 users, 85,331,846 connections",Text,"Clustering, graph analysis",2009,[185][186],R. Zafarani et al.
4,SNAP Social Circles: Twitter Database,Large Twitter network data.,"Node features, circles, and ego networks.",1768149,Text,"Clustering, graph analysis",2012,[187][188],J. McAuley et al.
5,Twitter Dataset for Arabic Sentiment Analysis,Arabic tweets.,Samples hand-labeled as positive or negative.,2000,Text,Classification,2014,[189][190],N. Abdulla
6,Buzz in Social Media Dataset,Data from Twitter and Tom's Hardware. This dataset focuses on specific buzz topics being discussed on those sites.,Data is windowed so that the user can attempt to predict the events leading up to social media buzz.,140000,Text,"Regression, Classification",2013,[191][192],F. Kawala et al.
7,Paraphrase and Semantic Similarity in Twitter (PIT),This dataset focuses on whether tweets have (almost) same meaning/information or not. Manually labeled.,"tokenization, part-of-speech and named entity tagging",18762,Text,"Regression, Classification",2015,[193][194],Xu et al.
8,Geoparse Twitter benchmark dataset,This dataset contains tweets during different news events in different countries. Manually labeled location mentions.,location annotations added to JSON metadata,6386,"Tweets, JSON","Classification, Information Extraction",2014,[195][196],S.E. Middleton et al.
