,Unnamed: 0,Unnamed: 1,CrushFTP,ProFTPD,Pure-FTPd,vsftpd,Wu-ftp
0,,License type,proprietary,FLOSS/GPL,BSD,FLOSS/GPL2,proprietary
1,OS,Linux,Yes,Yes,Yes,Yes,Yes
2,OS,Mac OS X,Yes,Yes,Yes,Yes,Yes
3,OS,Unix,Yes,Yes,Yes,Yes,Yes
4,OS,Windows,Yes,No,?,?,?
5,User Interface,CLI,Yes,Yes,?,?,?
6,User Interface,GUI integrated,Yes,No,?,?,?
7,User Interface,GUI(s) separately,Yes,Yes,?,?,?
8,User Interface,Web-based GUI,Yes,?,?,?,?
9,Services,FTP,Yes,Yes,Yes,Yes,Yes
10,Services,SFTP,Yes,Yes,No,No,No
11,Services,FTPS,Yes,Yes,Yes,Yes,?
12,Services,SCP,Yes,?,?,?,?
13,Services,WebDAV,Yes,?,?,?,?
14,Services,HTTP/HTTPS,Yes,?,?,?,?
15,Services,AS2,Yes,?,?,?,?
16,Authentication,LDAP,Yes,Yes,Yes,?,?
17,Authentication,Active Directory,Yes,?,?,?,?
18,Authentication,Local,Yes,Yes,Yes,Yes,Yes
19,Authentication,Database,Yes,Yes,Yes,?,?
20,High Availability,Failover Cluster(active/passive),Yes,?,?,?,?
21,High Availability,Load Balancing(active/active),Yes,?,?,?,?
22,Automation,Event-handling,Yes,Yes,?,?,?
23,Automation,Scripting,Yes,Yes,?,?,?
24,,,CrushFTP,ProFTPD,Pure-FTPd,vsftpd,Wu-ftp
