,Unnamed: 0,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
83,Serif PhotoPlus,"Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use",Serif,1999,X8,"August 10, 2015",,Proprietary
84,Shotwell,Image organizer for GNOME,Yorba Foundation,"June 26, 2009",0.12.3,,,LGPL 2.1
85,Tux Paint,Drawing program for young children.,Bill Kendrick,"June 16, 2002",0.9.21,,,GPL
86,TVPaint,2D animation software,Herve ADAM,"June 16, 1991",9.5.11,,,Proprietary
87,UFRaw,Raw image format processor,Udi Fuchs,,0.22,,,GPL
88,Ulead PhotoImpact*,,Ulead Systems,,12,,,Proprietary
89,Ultimate Paint*,Basic graphics editor based on Deluxe Paint,"Joseph Ladanyi, Daniel Szabo",1998,2.88,,,Proprietary
90,WinImages,Animation-centric,Black Belt Systems,1985,7.5,,,Proprietary
91,Xara Photo & Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,1995 (Windows),9,,,Proprietary
92,XnView,"Cross-platform image viewer used for converting, organising and editing graphical & video files.",Pierre-emmanuel Gougelet,1998 (1.06),"2.20 (Windows)/0.64 (Linux, macOS)",,,Proprietary
93,XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets,"David Koblas, Torsten Martinsen, Jean-Pierre Demailly",1993,2.9.10.3,,,Custom free license
94,Zoner Photo Studio,All-in-one editor package,Zoner Inc.,,11.0 build 8,,,Proprietary
