,Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
0,CoreFTP,CoreFTP.com,2003,"2.2 (build 1751) June 27, 2012; 7 years ago",Freeware,Yes
1,Fetch,Fetch Softworks,1989,"5.7.7 December 2, 2017; 2 years ago",Proprietary,Yes
2,Secure FTP,Glub Tech,1999,"2.6.2 July 27, 2013; 6 years ago",Apache,Yes
3,Sysax FTP Automation,"Codeorigin, LLC",2005,"5.31 April 12, 2012; 7 years ago",Proprietary,Yes
