,Shell,Secure (password) prompt,Encrypted variables/ parameters,File/directory passwords,Execute permission,Untrusted script blocking,Restricted shell subset,Safe data subset
0,Bourne shell,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
1,POSIX shell,via stty[nb 20],No,?,N/A[nb 21],No,No,No
2,bash (v4.0),read -s,No,?,N/A[nb 21],No,Yes,No
3,csh,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
4,tcsh,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
5,Hamilton C shell,No,No,No,No,No,No,No
6,Scsh,via stty[nb 20],No,?,N/A[nb 21],No,No,No
7,ksh (ksh93t+),via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
8,pdksh,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
9,zsh,read -s,No,?,N/A[nb 21],No,Yes,No
10,ash,via stty[nb 20],No,?,N/A[nb 21],No,Yes,No
11,CCP,No,No,No,No,No,No,No
12,COMMAND.COM,"Partial (only under DR-DOS, prompts for password if file/directory is protected)",No,Partial (only under DR-DOS via \dirname;dirpwd\filename;filepwd syntax)[nb 22],"Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)[nb 23]",No,No,No
13,OS/2 CMD.EXE,No,No,No,No,No,No,No
14,Windows CMD.EXE,No,No,No,No,No,No,No
15,4DOS,Yes (via INPUT /P or INKEY /P)[nb 24],No,Partial (only under DR-DOS via \dirname;;dirpwd\filename;;filepwd syntax)[nb 22],"Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)[nb 23]",No,No,No
16,4OS2,?,No,No,No,No,No,No
17,TCC (formerly 4NT),"Yes (via INPUT /P, INKEY /P or QUERYBOX /P)[nb 24]",No,No,No,No,No,No
18,PowerShell,Yes[nb 25],Yes,No,No[nb 26],Yes[53],Yes[nb 27],Yes[54]
19,rc,via stty[nb 20],No,?,N/A[nb 21],No,Yes[55],No
20,BeanShell,?,?,?,?,?,?,?
21,VMS DCL,Yes,No,No,Yes,No,Yes,No
22,fish,read -s,No,?,N/A[nb 21],No,Yes (via fish -l),?
