,IDE,Developer,Latest stable release,Platform,License
0,Eclipse DLTK,,5.0,"Windows, Linux, macOS, FreeBSD, JVM, Solaris",EPL
1,Komodo IDE / Edit,ActiveState,9.0.1,Cross-platform,"IDE:Proprietary, Edit:GPL, LGPL, MPL"
2,SlickEdit,SlickEdit,October 2016 v.21,"Windows, Linux, macOS, AIX, Solaris, HP-UX",Proprietary
