,Word processor,Apple,Atari,CP/M,CPT,Commodore 64,HP,IBM PC,Kaypro,Macintosh,Morrow,IBM PCjr,Rainbow 100,TI Professional,Tandy,ZX Spectrum
0,Tasword,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
1,Homeword,"II, IIc,IIe",800,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
2,MacWrite,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
3,Pfs:Write,"II, IIc,IIe",No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
4,AtariWriter,No,"800XL, 1200",No,No,No,No,No,No,No,No,No,No,No,No,No
5,OMNIWRITER,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
6,Word Juggler,"II,IIe,III",No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,PC-Write,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
8,Wordvision,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
9,Volkswriter deluxe,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
10,Perfect Writer,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No
11,Plu Perfect,No,No,No,No,No,No,No,2410,No,Yes,No,No,No,No,No
12,Wordstar,"II,IIe",No,Yes,No,No,110150,Yes,Yes,No,Yes,Yes,Yes,Yes,TRS-80,No
13,Newword,IIe,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
14,Appleworks,"II, IIe",No,No,No,No,No,No,No,No,No,No,No,No,No,No
15,AppleWriter,"II, IIe, III",No,No,No,No,No,No,No,No,No,No,No,No,No,No
16,III E-Z Pieces,III,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17,Symphony,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
18,Framework,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
19,XY Write II+,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
20,WordPerfect,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Tandy 2000,No
21,Microsoft Word,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Tandy 2000,No
22,CPT Word Processors,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
