,Model(codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS).1,Processing power[a][d](GFLOPS).2,Memory,Memory.1,Memory.2,Memory.3,TBP,Businterface
0,Model(codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Half,Single,Double,Bus type& width,Size (GiB),Clock (MT/s),Bandwidth (GB/s),TBP,Businterface
1,Radeon RX Vega 56(Vega10 XL)[97][98][99],"August 28, 2017$399 USD",GCN 5th genSamsung/GloFo14LPP[100][f],12.5×109486 mm2,3584:224:6456 CU,11561471,258.9329.5,74.094.1,1657221088,828610544,518659,HBM22048-bit,8,1600,410,210 W,PCIe 3.0 ×16
2,Radeon RX Vega 64(Vega10 XT)[97][99][101],"August 14, 2017$499 USD",GCN 5th genSamsung/GloFo14LPP[100][f],12.5×109486 mm2,4096:256:6464 CU,12471546,319.2395.8,79.898.9,2043125330,1021512665,638792,HBM22048-bit,8,1890,483.8,295 W,PCIe 3.0 ×16
3,Radeon RX Vega 64 Liquid(Vega10 XT)[97][99][101],"August 14, 2017$699 USD",GCN 5th genSamsung/GloFo14LPP[100][f],12.5×109486 mm2,4096:256:6464 CU,14061677,359.9429.3,90.0107.3,2303627476,1151813738,720859,HBM22048-bit,8,1890,483.8,345 W,PCIe 3.0 ×16
