,Model,Launch,Code name,Fab (nm),Bus interface,Clock rate,Clock rate.1,Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power(GFLOPS),Processing power(GFLOPS).1,API compliance (version),API compliance (version).1,API compliance (version).2,TDP (Watts),Notes
0,Model,Launch,Code name,Fab (nm),Bus interface,Core (MHz),Memory (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,TDP (Watts),Notes
1,FirePro RG220[323],May 2010,RV711,55,PCIe 2.0 x16,500,800,80(16×5):8:4:1,2.0,4.0,512,12.8,"GDDR3 for GPU,RDRAM for PCoIP",64,80,No,10.1,3.3,1.0,35,Dual Ethernet ports plus DMS-59 for dual DVI-D output (no VGA host output)
2,FirePro R5000[324],"February 25, 2013",Pitcairn LE GL (GCN 1st gen),28,PCIe 3.0 x16,825,800,768:48:32:12,26.4,39.6,2048,102.4,GDDR5,256,1267.2,79.2,11.1,4.5,1.2,<150,Ethernet port plus Two Mini DisplayPort w/ Tera2 PCoIP
