,Assembler,License,Instruction set,Host platform
0,Atari Assembler Editor,Proprietary,MOS Technology 6502,Atari 8-bit family
1,Atari Macro Assembler,Proprietary,MOS Technology 6502,Atari 8-bit family
2,Lisa,Proprietary,MOS Technology 6502,Apple II series
3,MAC/65,Proprietary,"MOS Technology 6502, WDC 65C02",Atari 8-bit family
4,Merlin,Free,"MOS Technology 6502, WDC 65C02",Apple II series
5,vasm,Free,MOS Technology 6502,various
6,k2asm,Artistic License,MOS Technology 6502,"Linux, Windows, macOS, possibly other Unices"
