,Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AVComparatives,AVTest[10],License,Price,First release,Country of origin,Notes
0,AhnLab,AhnLab Mobile Security,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Proprietary,?,2010,South Korea,
1,Avast,Avast Mobile Security,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Free,2011,Czech Republic,
2,Avast,Avast Premier Mobile Security,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2013,Czech Republic,
3,AVG Technologies (Grisoft),AVG AntiVirus FREE for Android,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary,Free,2010,Czech Republic,
4,Avira Operations,Avira Free Android Security,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Proprietary,Free,2004,Germany,
5,Bitdefender,Bitdefender Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary,Freemium,2011,Romania,
6,Cheetah Mobile,Security Master,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary,Free,2012,China,Earlier it is known as CM Security[11]
7,Comodo Group,Comodo Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2012,United States,
8,Dr. Web,Dr. Web Mobile Security Suite,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2010,Russia,
9,ESET,ESET Mobile Security,Yes,Yes,No,Yes,"Partially, only Anti-Phishing",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Freemium[12],2011,Slovakia,
10,F-Secure,F-Secure Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2010,Finland,
11,G Data Software,G Data Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Proprietary,Non-free,2012,Germany,
12,Kaspersky Lab,Kaspersky Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Russia,Banned by USG
13,Kaspersky Lab,Kaspersky Tablet Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Russia,Banned by USG
14,McAfee,McAfee Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2011,United States,
15,Qihoo 360,360 Mobilesafe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Free,2009,China,
16,Quick Heal,Quick Heal Mobile Security,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2012,India,
17,Sophos,EndUser Protection,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary,Non-free,2011,United Kingdom,
18,Sourcefire,FireAMP Mobile,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Proprietary,?,2012,United States,
19,Symantec,Norton Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2011,United States,
20,Trend Micro,Trend Micro Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Non-free,2012,Japan,
21,TrustPort,TrustPort Mobile Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Proprietary,Freemium,2012,Czech Republic,
22,Webroot,SecureAnywhere Mobile,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Freemium,2012,United States,
23,Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AV Comparatives,AV-Test,License,Price,First release,Country of origin,Notes
