,IDE,License,Windows,Linux,macOS,Developer,Other platforms,Latest stable release
0,Basic4android,Proprietary,Yes,No,No,Anywhere Software,cross-compile from Windows to Android,2018-03-20
1,FreeBASIC,GPL,Yes,Yes,No,The FreeBASIC Development Team,"Windows, FreeBSD",2019-02-18
2,Gambas,GPL,No,Yes,No,Benoît Minisini,"FreeBSD, Cygwin",2019-11-19
3,Microsoft Small Basic,Proprietary,Yes,No,No,Microsoft,,2015-10-01
4,Microsoft Visual Studio,Proprietary,Yes,Yes,Yes,Microsoft,,2017-10-19
5,MonoDevelop,LGPL,Yes,Yes,Yes,Xamarin and the Mono community,"FreeBSD, OpenBSD, Solaris",2016-01-28
6,PBASIC Stamp Editor,Proprietary,Yes,No,Yes,Parallax Inc,,2014-07-02[4]
7,PureBasic,Proprietary,Yes,Yes,Yes,Fantaisie Software,AmigaOS,2015-10-16
8,SharpDevelop,LGPL,Yes,No,No,ICSharpCode Team,,2015-07-14
9,SlickEdit,Proprietary,Yes,Yes,Yes,SlickEdit,"Solaris, Solaris SPARC, AIX, HP-UX",2018
10,Xojo,Proprietary,Yes,Yes,Yes,"Xojo, Inc.",Web,2015-12-17
