,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
0,body,<3.1[IE 1.0] [1],Yes,Yes,Yes,Yes,Yes,Yes
1,head,<3.1[IE 1.0] [1],Yes,Yes,Yes,Yes,Yes,Yes
2,html,<3.1[IE 1.0] [2],Yes,Yes,Yes,Yes,Yes,Yes
3,title,<3.1[IE 1.0] [3],Yes,Yes,Yes,Yes,Yes,Yes
