,Can:,"NAT44 (static, dynamic w/o ports, PAT)","NAT64, NPTv6",IDS (Intrusion Detection System),VPN (Virtual Private Network),AV (Anti-Virus),Sniffer,Profile selection
0,Untangle,Yes,?,Yes,Yes (IPsec and OpenVPN),"Yes (clamav, commtouch (optional))",Yes (tcpdump),?
1,Vyatta,Yes (three NAT types),?,Yes (integrated Snort),Yes (IPsec and OpenVPN),"Yes (with clamav, Sophos Antivirus (optional))",Yes (with wireshark or tcpdump),?
2,WinGate,Yes,?,Yes (with NetPatrol),Yes (proprietary),Yes (Kaspersky Labs),Yes (filtered capturing to pcap format),No
3,pfSense,Yes,Yes (NPt),Yes (with Snort),"Yes (OpenVPN, IPsec, L2TP, IKEv2, Tinc, PPTP)",Yes (with squid and clamav),Yes (tcpdump),No
4,IPFire,Yes,?,Yes (with Snort),"Yes (OpenVPN, IPsec, IKEv2)",Yes (with squid and clamav),Yes (tcpdump),No
