,Model,Features,Features.1,Features.2,Features.3,Features.4,Features.5,Features.6,Features.7,Features.8
0,Model,Scalable Link Interface (SLI),"PureVideo 2 with VP2, BSP Engine, and AES128 Engine","PureVideo 3 with VP3, BSP Engine, and AES128 Engine",,,,,,
1,GeForce 9300 GE (G98),Yes,No,Yes,,,,,,
2,GeForce 9300 GS (G98),Yes,No,Yes,,,,,,
3,GeForce 9400 GT,Yes,Yes,No,,,,,,
4,GeForce 9500 GT,Yes,Yes,No,,,,,,
5,GeForce 9600 GSO,Yes,Yes,No,,,,,,
6,GeForce 9600 GT,Yes,Yes,No,,,,,,
7,GeForce 9800 GT,Yes,Yes,No,,,,,,
8,GeForce 9800 GTX,Yes3-way,Yes,No,,,,,,
9,GeForce 9800 GTX+,Yes3-way,Yes,No,,,,,,
10,GeForce 9800 GX2,Yes,Yes,No,,,,,,
