,Feature / Framework,Adobe Flex built-in charts,Axiis,BirdEye,Flare,Flexmonster,IBM ILOG Elixir,Kap IT Labs,yFiles,amCharts
0,3D charts,No,No,No,No,No,Yes,No,No,Yes
1,"Rotate, zoom chart in 3D",No,No,No,No,No,Yes,No,No,No
2,Show-up & other animation effects,Yes,No,Partial (only for Dependency Graph),Yes,Partial (only for Pie Chart),Yes,No,Yes,Yes
3,Interactive legend,Via customization,No,No,No,No,Via customization,Yes,No,Yes
4,Show total values over the bars,Yes,Yes,No,No,No,Yes,Yes,No,Yes
5,String formater for labels,Yes,Yes,No,No,No,Yes,?,?,Yes
6,Ability to define custom color for each bar (chart item),Yes,?,?,?,?,Yes,?,?,Yes
7,Combined charts,Yes,No,Yes,No,No,Yes,No,No,Yes
8,Multiple axis,Yes,No,No,No,No,No,No,No,Yes
