,Feature / Product,Parallels,Fusion
0,Windowed/integration mode,Coherence,Unity
1,Launch Windows apps from dock,Yes,Yes
2,Cortana in Windows 10,Yes,Yes
3,Quick-look support,Yes,Yes
4,5K resolution support,Yes,Yes
5,Import Boot Camp partitions,Parallels 11,Fusion 8
6,DirectX 10 support,Parallels 11,Fusion 8
7,Download Microsoft Windows in Product,Parallels 11,No
8,"Windows 10 ""Creator"" support",Parallels 12,Fusion 10
9,MacOS High Sierra support,Parallels 13,Fusion 10
10,Mac Touch Bar support,Parallels 12,Fusion 10
11,Linked Clone support,Parallels 11,Fusion 8
12,macOS Catalina support,Parallels 15,Fusion 11
13,macOS Sidecar Support,Parallels 15,Fusion 11.5
14,Apple Pencil Support,Parallels 15,No
15,DirectX 11,Parallels 15,No
