,Product,Manufacturer,Web browser,Wireless synching,Ad hoc,On-demand,Web radio/TV
0,"Archos 5, 7",Archos,Opera,,,,
1,"Archos 604 WiFi, 704 WiFi",Archos,Opera 8.5,file browsing,No,No,
2,"Archos 605 WiFi, 705 WiFi",Archos,Opera 9,file browsing,No,Content Portals,Yes
3,Archos PMA400,Archos,Opera,via FTP,Yes,No,
4,Cowon Q5W,Cowon,IE Mobile,,,,Yes (using Flash-based Internet Radio sites)
5,Ibiza Rhapsody,Haier,Minimo,Yes,No,Rhapsody,radio only
6,iPod Touch,Apple Inc.,Webkit,Yes,Yes,"iTunes, Spotify",Yes
7,Samsung Galaxy Player,Samsung,Webkit,,,Android Marketplace,
8,Sansa Connect,SanDisk,No,,,Yahoo! Music,
9,Sony PSP,Sony,NetFront,Yes,Yes,PlayStation Store,Yes
10,Sony Walkman X Series,Sony,NetFront,No,Yes,,Yes
11,ZEN X-Fi,Creative,No,media server,No,Creative MediaBox,No
12,"Zune 4, 8",Microsoft,No,Yes,Yes,Zune Marketplace,
13,Zune 30,Microsoft,No,Yes,Yes,Zune Marketplace,
14,"Zune 80, 120",Microsoft,No,Yes,Yes,Zune Marketplace,
15,Zune HD,Microsoft,IE Mobile 6,Yes,Yes,Zune Marketplace,
