,Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power (GFLOPS),Supported API version,Supported API version.1,TBP (Watts),Notes
0,Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,TBP (Watts),Notes
1,NVS 2100M,GT218M,40,PCIe 2.0 ×16,535,1230,1600,16:8:4,2.14,4.28,Up to 512,12.8,GDDR3,64,59.04,10.1,3.3,14,
2,NVS 3100M,GT218M,40,PCIe 2.0 ×16,600,1470,1600,16:8:4,2.4,4.8,Up to 512,12.8,GDDR3,64,70.56,10.1,3.3,14,based on G210M/310M
3,NVS 4200M,GF119,40,PCIe 2.0 ×16,810,1620,1600,48:8:4,3.24,6.48,Up to 1024,12.8,GDDR3,64,155.52,11,4.5,,based on GT 520M
4,NVS 5100M,GT216M,40,PCIe 2.0 ×16,550,1210,1600,48:16:8,4.4,8.8,Up to 1024,25.6,GDDR3,128,174.24,10.1,3.3,35,
5,NVS 5200M,GF108,40/28,PCIe 2.0 ×16,625,1250,1800,96:16:4,2.5,10,Up to 1024,14.4,GDDR3,64,240,11,4.5,35,
6,NVS 5400M,GF108,40/28,PCIe 2.0 ×16,660,1320,1800,96:16:4,2.64,10.56,Up to 1024,28.8,GDDR3,128,253.44,11,4.5,35,
