,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
0,b,<3.1[IE 1] [6],Yes,Yes,Yes,Yes,Yes,Yes
1,big,<3.1[IE 3] [6],Yes,Yes,Yes,Yes,Yes,Yes
2,hr,<3.1[IE 1] [8],Yes,Yes,Yes,Yes,Yes,Yes
3,i,<3.1[IE 1] [6],Yes,Yes,Yes,Yes,Yes,Yes
4,small,<3.1[IE 3] [6],Yes,Yes,Yes,Yes,Yes,Yes
5,sub,<3.1[IE 3] [6],Yes,Yes,Yes,Yes,Yes,Yes
6,sup,<3.1[IE 3] [6],Yes,Yes,Yes,Yes,Yes,Yes
7,tt,Yes,Yes,Yes,Yes,Yes,Yes,Yes
