,Name,Nearest city,Skiable area (acres),Top elevation (feet),Base elevation (feet),Vertical (feet),Runs,Lifts,Snowfall (in/year),Date Statistics Updated
0,Arapahoe Basin,Keystone,1428,13050,10780,2270,145,9,350,Feb 2019
1,Aspen Highlands,Aspen,1040,12392,8040,3635,118,5,300,Feb 2019
2,Aspen Mountain,Aspen,675,11212,7945,3267,76,8,300,Feb 2019
3,Beaver Creek,Avon,1832,11440,8100,3340,150,24,330,Feb 2019
4,Breckenridge,Breckenridge,2926,12998,9600,2908,187,34,360,Jan 2017
5,Buttermilk,Aspen,435,9900,7870,2030,44,9,200,
6,Ski Cooper,Leadville,400,11700,10500,1200,39,4,260,
7,Copper Mountain,Copper Mountain,2490,12313,9712,2601,150,23,305,
8,Crested Butte,Crested Butte,1547,12162,9375,2785,121,15,300,
9,Echo Mountain,Evergreen,60,10650,10050,600,13,3,275,
10,Eldora,Nederland,680,10800,9200,1600,53,12,300,
11,Granby Ranch,Granby,406,9202,8202,1000,35,6,220,
12,Hesperus,Hesperus,60,8880,8100,700,13,2,150,
13,Howelsen,Steamboat Springs,50,7136,6696,440,17,1,170,
14,Kendall,Silverton,16,9540,9300,240,11,1,200,
15,Keystone,Keystone,3087,12408,9280,2362,127,20,235,Jan 2017
16,Loveland,Silverthorne,1800,13010,10800,2210,94,11,422,
17,Monarch,Salida,800,11960,10790,1170,54,5,375,
18,Powderhorn,Grand Junction,1600,9850,8200,1650,37,4,250,
19,Purgatory,Durango,1525,10822,8793,2029,94,11,260,
20,Silverton Mountain,Silverton,1819,12300,10400,3087,69,1,460,
21,Snowmass,Aspen,3128,12510,8104,4030,88,21,300,Jan 2017
22,Steamboat,Steamboat Springs,2965,10568,6900,2479,165,16,349,Jan 2017
23,Sunlight,Glenwood Springs,470,9895,7885,2010,67,4,252,
24,Telluride,Telluride,2000,12570,8725,3830,148,18,280,June 2018
25,Vail,Vail,5289,11570,8120,3041,195,34,370,Jan 2017
26,Winter Park,Winter Park,3081,12060,9000,3060,143,26,365,
27,Wolf Creek,Pagosa Springs,1600,11904,10300,1604,77,7,480,
