,Title,Status,Graphics,Setting,Subscription model,Initial release date,Discontinued date,Distribution,Notes
0,The 4th Coming,,2D (isometric),Fantasy,Buy-to-play,1999,,,Now known as T4C v2
1,Ace Online,,3D,Science fiction,Free-to-play,2006,,,
2,AdventureQuest Worlds,,2D,Medieval fantasy,Freemium,2008,,,Browser-based
3,The Aetherlight: Chronicles of the Resistance,,3D,Steampunk,Buy-to-play,2016,,,
4,Age of Conan: Hyborian Adventures,,3D,Fantasy,Free-to-play,2008,,,This game features a combo based combat system.
5,Age of Wulin,,3D,"Martial Arts, Wuxia (fantasy)",Freemium,2013,,,
6,AIKA Online,,3D,Medieval fantasy,Free-to-play,2009,,,
7,Aion: The Tower of Eternity,Active,3D,Fantasy,Free-to-play,2008,,,
8,Albion Online,Active,3D,Medieval fantasy,Buy-to-play with optional subscription model,2017,,Steam,
9,Allods Online,Active,3D,Fantasy,Freemium,2010,,Steam,
10,Anarchy Online,Active,3D,Science fiction,Freemium,2001,,,
11,Angel Love Online,,2D,Fantasy,Freemium,2006,,,"Downloadable client (Windows only). Multiplatform: PC, PlayStation 3"
12,ArcheAge,Active,3D,Fantasy,Freemium,2013,,,"Open-sandbox player built world, large-scale crafting interactions (building own ship to sail with, etc)"
13,Ashen Empires,,2D (isometric),Fantasy,Freemium,2002,,,"Housing, Guilds, 3 Expansions, Downloadable client (Windows only)"
14,Asheron's Call,,3D,Fantasy,Pay-to-play,1999,2017-01-31[1],,Has player housing
15,Asheron's Call 2,,3D,Fantasy,Pay-to-play,2002,"2005-12-30, 2017-01-31[2]",,
16,Ashes of Creation,Development,3D,Fantasy,Pay to play,TBA,,,
17,Atlantica Online,,3D,Fantasy,Free-to-play,2008,,,Turn-based strategy
18,Aura Kingdom,Active,3D,Fantasy,Free-to-play,2014,,,
19,Battlestar Galactica Online,,3D,Science fiction,Free-to-play,2011,2019-02-01,,"Browser-based, Battlestar Galactica license"
20,Black Desert Online,Active,3D,Medieval fantasy,"Freemium (Asia), Buy-to-play (EU/NA)",2015,,Steam,"Active, open-sandbox player built world - Manual aim action combat"
21,Blade & Soul,Active,3D,"Fantasy, martial arts",Freemium,2012,,,Manual aim action combat (within melee/short ranged combat)
22,Cabal Online,,3D,Fantasy,Free-to-play,2005,,,
23,Camelot Unchained,Development,3D,"Fantasy, Mythology (Arthurian)(Celtic)(Norse)",Pay-to-play,2019,,,
24,Champions Online,Active,3D,Superheroes,Freemium,2009,,,
25,City of Heroes,,3D,Superheroes,Freemium,2004-04-27,2012-11-30,,Formerly pay-to-play
26,City of Villains,,3D,Superheroes,Freemium,2005-10-31,2012-11-30,,
27,Clan Lord,,2D,Fantasy,Pay for account; free-to-play,1998,,,Downloadable client for Windows & Mac
28,Clone Wars Adventures,,3D,Sci-fi,Free-to-play,2010-09-15,2014-03-31,,
29,Crowns of Power,,3D,Fantasy,Free-to-play,2008,,,
30,Dark Age of Camelot,Active,3D,Mythology (Arthurian),Pay-to-play; Free-to-play (2019)[3],2001,,,
31,Dark Ages,,2D,Mythology (Celtic),Pay for account; free-to-play,1999,,,
32,Dark and Light,,3D,Fantasy,Pay-to-play,2006,2008,,
33,Darkeden,,2D,Horror,Freemium,2002,2013,,
34,Darkfall,Closed,3D,Fantasy,Pay-to-play,2009,2012-11-15,,Independent development continues as Darkfall: New Dawn and Rise of Agon.
35,Darkfall Unholy Wars,Closed,3D,Medieval fantasy,Pay-to-play,2013,2016-05-28,,
36,DarkSpace,Active,3D,Science fiction,Free-to-play,2001,,,Open source
37,DC Universe Online,,3D,Superheroes,Freemium,2011,,,Base game is free-to-play with restrictions
38,Dead Frontier,,3D,Horror,Freemium,2008,,,"Pay for extras, Browser-based"
39,Defiance,,3D,Post-apocalyptic,Free-to-play,2013,,,Tie-in to the Syfy show of the same name
40,Digimon Masters,Active,3D,Fantasy,Freemium,2009,,Steam,
41,Dofus,,2D (isometric),Fantasy,Freemium,2004,,,"Downloadable client (Windows, Mac, Linux)Tactical combat"
42,Dragon Ball Online,,3D,Fantasy,Free-to-play,2010,,,"Downloadable client (Windows, Mac, Linux)Tactical combat"
43,Dragon Nest,Active,3D,Fantasy,Freemium,2010,,,Manual aim action combat
44,Dragon Oath,,3D,Mythology (Chinese),Free-to-play,2007,,,Based on the novel Demi-Gods and Semi-Devils by Jin Yong
45,Dragon Quest X,,3D,Fantasy,Pay-to-play,2012,,,"Multiplatform: Wii, Wii U"
46,Dragonica,Varies,3D,Fantasy,Freemium,2009,Varies,,"Servers in most regions were closed in 2010 or 2011, but US servers remain active under the name Dragon Saga"
47,Dragon's Prophet,,3D,Fantasy,Free-to-play,2013,"2015 in the US, still running in Europe",,"Capture, train and ride dragons, fight with them"
48,Drakensang Online,,3D,Fantasy,Freemium,2012,,,Uses downloadable client and launcher
49,Dungeons & Dragons Online,Active,3D,Fantasy,Freemium,2006,,Steam,D&D 3.5 Edition ruleset
50,Dynasty Warriors Online,,3D,"Historical fantasy (China), martial arts",Free-to-play,2006,,,Hack and slash
51,Earth and Beyond,,3D,Science fiction,Pay-to-play,2002-09-24,2004-09-22,,"Space vehicle piloting, trading, leveling"
52,Echo of Soul,,3D,Fantasy,Free-to-play,2013,,,
53,The Elder Scrolls Online,Active,3D,Medieval fantasy,Buy-to-play with optional subscription model,2014,,Steam,"Manual aim action combat. Formerly a subscription based, but changed to buy-to-play on March 17, 2015."
54,Elsword,Active,2D (isometric),Fantasy,Free-to-play,2007,,,Potential sequel to GC
55,Emil Chronicle Online,,3D,Fantasy,Freemium,2005,2010,,
56,Empire of Sports,,3D,Modern sports,Free-to-play,2008,April 2016,,Sports-based
57,Empire & State,,2D,Science fiction,Free-to-play,2011,,,Browser-based political strategy MMORPG
58,Entropia Universe,,3D,Science fiction,Free-to-play,2003,,,
59,Eternal Lands,,3D,Fantasy,Freemium,2003,,,"Downloadable client (Windows, Mac, Linux)"
