,John McCain,John McCain.1,Barack Obama,Barack Obama.1
0,John McCain voted for the appointment of Justice Roberts. McCain favors a more Constructionist standpoint and says he would work to safeguard against Judicial activism.[160],John McCain voted for the appointment of Justice Roberts. McCain favors a more Constructionist standpoint and says he would work to safeguard against Judicial activism.[160],Barack Obama was 1 of 22 Senators to vote against the appointment of Justice Roberts.,Barack Obama was 1 of 22 Senators to vote against the appointment of Justice Roberts.
1,Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
2,,,,
