,Distribution,Working State,Aim,Creator,Producer,Base Distribution,Installed Size (MB),Initial Release Date,Interface,Linux Kernel,Default File System,Architecture Support,Approximate Number of Pre-compiled Packages,Default Package Management Tools,Default Installer,Unnamed: 15
0,Aurora,"2009 Last Release, development stopped",Asus Eee PC optimized,Eeebuntu community,,Ubuntu,,2009-05-15,Gnome or Gnome + Netbook Remix,Array kernel (modified kernel)[2],,,,APT,,
1,CrunchBang Linux 11-20130119,2015-02-06 Development Stopped,Limited hardware machines,Philip Newborough,,Debian,,2013-01-19,Openbox,3.2.35,,x86 + x86_64,,APT,,
2,Debian Eee PC,,Asus Eee PC,,,Debian,,,,,,,,,,
3,Debian Wheezy,,,,,Written from scratch,,,,,,"i386, AMD64, PowerPC, SPARC, ARM, MIPS, S390, armhf, s390x. Loongson[3]",,,,
4,EasyPeasy 1.6,"2012 Last Release, development stopped",All netbooks,EasyPeasy Community,Jon Ramvi,Ubuntu,,2010-04-24,Gnome + Netbook Remix,2.6.32,ext4,x86,,APT,Ubiquity,
5,Eeedora[4],,Asus Eee PC 701,Martin Andrews,,Fedora,,,Xfce,,,,,RPM,,
6,Firefly Linux 1.0 Beta 1,"2009 Last Release, development stopped",,Firefly Linux community,,Arch Linux,,,LXDE,2.6.29.4,,x86,,Pacman,,
7,Fuduntu,"2013-04-14 Last Release, development stopped",All netbooks[5],"Andrew Wyatt ""Fewt""",Fuduntu.org[5],None (Originally based on Fedora 14),,2012-10-01,Gnome,3.6.9,ext4,x86[6] + x86_64[7],,RPM + YUM,,
8,gNewSense,,Free software,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,Debian,,,,Linux-libre 2.6.32,,"Loongson, x86, x86-64",,APT,Ubiquity (software),
9,Joli OS 1.2(formerly named Jolicloud),"2013-11-22 Last Release, development stopped",All netbooks[8],Joli OS,Joli OS,Ubuntu,,2011-03-09,HTML5 + Gnome,2.6.35.10,ext4,x86,,APT,,
10,Kuki Linux 2.0,"2009 Last Release, development stopped",Aspire One optimized,Kuki Linux community,,Ubuntu,,,Xfce,,,,,,,
11,Linux4One 1.5,,Aspire One optimized,Linux4One community,,Ubuntu,,,Gnome or LXDE,,,,,,,
12,Leeenux Linux v10,2016 Last Release,All netbooks,Aleksandar Ciric,,Ubuntu 16.04 LTS,,,"LXDE, XFCE",,ext4,"x86, AMD64",,"APT, Synaptic, Software center",Ubiquity,
13,Lubuntu 15.10,2015-10-22 Active Development,Limited hardware machines,Lubuntu Community and LXDE Foundation,,Ubuntu,,2011-10-13,LXDE,,,,,Synaptic,,
14,Manjaro Netbook Edition[9],2015-07-25 Active Development,All netbooks,Rob McCathie,Manjaro Linux,Arch Linux,,,Xfce,Intel Atom-optimized Manjaro kernel,ext4,"x86, x86_64",,Pamac (graphical frontend for pacman),,
15,Midinux,,All netbooks,Red Flag Linux,,,,2007,,,ext3,x86,,,,
16,MeeGo 1.2,"2012 Last Release, development stopped","Intel Atom processor netbooks, Nokia ARM smartphones","Intel, Nokia, Maemo community","Intel, Nokia, Linux Foundation",None (it is a distribution developed out of Maemo and Moblin),,2010-10-28,"""Netbook User Experience"" (based on Clutter)",2.6.35,btrfs,x86 with SSSE3 support,,RPM,,
17,Moblin 2.1,"2009-04 Last Release, development stopped",All Intel Atom processor netbooks and MID,Intel,Intel/Linux Foundation,None (borrows components for various distributions[10]),,2009-11-04,Clutter,,,,,RPM (may change[10]),,
18,OpenGeeeU 8.10,"2012-08 Last Release, development stopped",,Luca De Marini,,Easy Peasy[11],,2009-03-23,Enlightenment plus Gnome,2.6.27,ext3,x86,26000,APT,Ubiquity,
19,Puppeee Linux 4.3X,Linpus is 64-bit only,Asus Eee PCs with Intel Chipsets,Jemimah Ruhala,,Puppy Linux 4.3.1,200MB,,Choice of IceWM / OpenBox / Flwm with ROX-Filer / PcManFM / LxLauncher,2.6.33,AUFS + SquashFS + EXT2,Atom / CeleronM,,Pet,PetGet,
20,Trisquel Mini,"2014-11 Last Release, development stopped",Limited hardware machines,,,Trisquel,,2010-09,,,,,,,,
21,Ubuntu Netbook Edition 10.10,"2010-10 Last Release, development stopped",Intel Atom processor netbooks[12],Canonical Ltd.,Canonical Ltd.,Ubuntu,,2010-10-10,Unity,2.6.32,,x86,32000,APT,,
22,Distribution,Working State,Aim,Creator,Producer,Base Distribution,Installed Size (MB),Initial Release Date,Interface,Linux Kernel,Default File System,Architecture Support,Approximate Number of Pre-compiled Packages,Default Package Management Tools,Default Installer,
