,Name,Ad-free,CVS,Git,SVN,Arch,Notes
0,Drupal,Yes,No,Yes,No,No,Only for Drupal related projects.
1,freedesktop.org,Yes,No,Yes,No,No,"Only for interoperability and shared base technology for free software desktop environments on Gnu and other Unix-like operating systems, including the X Window System (X11) and cairo (graphics)."
2,mozdev.org,Yes,Yes,Unknown,No,No,Only for Mozilla-related projects.
3,Name,Ad-free,CVS,Git,SVN,Arch,Notes
