,Latin,Spanish,Portuguese,Examples,Meaning
0,"cl-, fl-, pl-",ll- or pl,ch-,"clāmāre → S. llamar, P. chamar plumbum → S. plomo, P. chumbo flammam → S. llama, P. chama plēnum → S. lleno, P. cheio (also pleno)",'to call' 'lead' (metal) 'flame' 'full'
1,"-lt-, -ct-",-ch-,-it-,"multum → S. mucho, P. muito noctem → S. noche, P. noite pectum → S. pecho, P. peito",'much' 'night' 'chest'
2,f-,h- (later silent) or f-,f-,"fābulāre → S. hablar, P. falar fīlium → S. hijo, P. filho focum → S. fuego, P. fogo",'to speak' 'son' 'fire'
3,j(a)-,ya-,ja-,"iam → S. ya, P. já iacere → S. yacer, P. jazer (both archaic)","'already' 'to lie, as in a grave'"
4,-l-,-l-,(elided),"caelum → S. cielo, P. céu (arch. ceo) volāre → S. volar, P. voar",'sky' 'to fly'
5,"-c(u)l-, -li-",-j-,-lh-,"oculum → S. ojo, P. olho fīlium → S. hijo, P. filho",'eye' 'son'
6,-ll-,-ll-,-l-,"castellum → S. castillo, P. castelo",'castle'
7,-n-,-n-,(elided),"generālem → S. general, P. geral tenēre → S. tener, P. ter",'general' (adj.) 'to have'
8,-ni-,-ni-,-nh-,"iūnius → S. junio, P. Junho",'June'
9,-nn-,-ñ-,-n-,"annum → S. año, P. ano cannam → S. caña, P. cana",'year' 'reed'
