,File system,DOS,Windows 9x,Windows NT,Linux,"""classic"" Mac OS",macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
0,APFS,No,No,No,Partial (read-only with apfs-fuse[77] or linux-apfs[78]),No,Yes (Since macOS Sierra),No,No,No,No,No,No
1,BeeGFS,No,No,No,Yes,No,?,No,No,?,?,?,No
2,DECtape,No,No,No,No,No,No,No,No,No,No,No,No
3,Level-D,No,No,No,?,No,?,No,No,No,No,?,?
4,RT-11,No,No,No,No,No,No,No,No,No,No,No,No
5,Version 6 Unix file system (V6FS),No,No,No,?,No,No,No,No,No,No,No,No
6,Version 7 Unix file system (V7FS),No,No,No,Yes,No,?,No,No,?,?,?,?
7,exFAT,No,No,"Yes (installable drivers for Windows XP, 2003. Included with Windows Vista SP1 and newer.)",Yes (available as a kernel module or FUSE driver),No,Yes,Yes (available as a FUSE driver),No,No,No,Yes (available as a FUSE driver),No
8,FAT12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Partial (via dosdir, dosread, doswrite)",Yes,?
9,FAT16 / FAT16B / FAT16X,"Yes (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Partial (via dosdir, dosread, doswrite, not FAT16X)",Yes,?
10,FAT32 / FAT32X,Yes (from DOS 7.10),Yes (from Windows 95 OSR2),Yes (from Windows 2000),Yes,Yes?,Yes,Yes,Yes,Yes,No,Yes,?
11,GFS,No,No,No,Yes,No,?,No,?,?,?,?,?
12,HPFS,Partial (with third-party drivers),No,Partial (with NT 3.1 to 4.0 only),Yes,?,?,Yes,Yes (from OS/2 1.2),?,No,?,?
13,NTFS,Partial (with third-party drivers),"Yes (with 3rd-party drivers like Paragon NTFS for Win98, DiskInternals NTFS Reader)",Yes,Yes with ntfs-3g,No,"Yes natively read only, write support with Paragon NTFS or ntfs-3g",Yes with ntfs-3g,?,Yes with ntfs-3g,No,Yes with ntfs-3g,?
14,Apple HFS,No,No,Yes with Paragon HFS+ [79],Yes,Yes,Yes,No,?,Yes,No,?,No
15,Apple HFS Plus,No,No,Yes with Paragon HFS+ [79],Partial - writing support only to unjournalled FS,Yes from Mac OS 8.1,Yes,No,?,with addon,No,?,No
16,FFS,No,No,?,?,?,Yes,Yes,?,?,?,?,?
17,UFS1,No,No,"Partial (with ufs2tools, read only)",Partial - read only,?,Yes,Yes,No,?,?,Yes,?
18,UFS2,No,No,"Partial (with ufs2tools, read only)",Yes,?,Yes,Yes,No,?,?,?,?
19,LFS,No,No,No,?,?,?,No,No,?,?,?,?
20,ext,No,No,No,Yes - until 2.1.20,No,No,No,No,No,No,No,No
21,Xiafs,No,No,No,Yes - until 2.1.20 Experimental port available to 2.6.32 and later [80][81],No,No,No,No,No,No,No,No
