,Name,License,Can reside in,Can reside in.1,Can reside in.2,Can reside in.3,Can boot from,Can boot from.1,Can boot from.2,Can boot from.3,Can boot from.4,Can boot from.5,Can boot from.6,Can boot from.7,Can boot,Can boot.1,Can boot.2,Can boot.3,Can boot.4,Can boot.5,Can boot.6,Can boot.7,Can boot.8
27,RedBoot,GPLv2+,?,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Calls NTLDR,Calls Windows Boot Manager,Yes,Calls FreeLoader,Yes,Yes,Yes
28,rEFInd (fork of rEFIt),GPLv3/BSD license,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,?,?,Yes,Yes,Yes,?,?,Yes,Yes
29,rEFIt (not maintained),GPLv2/BSD license,Yes,Yes,Yes,Yes,Yes,Yes,?,No,?,Yes,?,No,?,?,Yes,Yes,Yes,?,?,Yes,Yes
30,Smart Boot Manager,GPLv2+,?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,?,Yes,?,?,Yes,?
31,SPFdisk,GPLv2+,?,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?,?,?,Yes,Yes,?,?,?,?,?,?,?
32,SYSLINUX,GPLv2+,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Calls NTLDR,Calls Windows Boot Manager,Yes,?,Yes,via mboot.c32 module [2],?
33,XOSL,GPLv2,?,No,No,Yes,Yes,Yes,Yes,Yes,?,No,?,No,Yes,Yes,Yes,Yes,Yes,?,?,?,?
34,Windows Boot Manager,Proprietary,Yes,No,Yes,No,Yes,Yes,?,Yes,Yes,Yes,Yes,?,?,Yes,Calls NTLDR,Yes,Calls GRUB or LILO,?,?,?,?
35,FreeLoader (ReactOS Boot Loader),GPLv2+,?,No,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,?,Yes,Yes,Partial[3],Calls Windows Boot Manager,Yes,Yes,?,?,?
36,Name,Software license,Can reside in,Can reside in,Can reside in,Can reside in,Can boot from,Can boot from,Can boot from,Can boot from,Can boot from,Can boot from,Can boot from,Can boot from,Can boot,Can boot,Can boot,Can boot,Can boot,Can boot,Can boot,Can boot,Can boot
37,Name,Software license,ESP (UEFI),MBR,VBR,Floppy,Hard disk,Second hard disk,Logical partitions,CD-ROM,Floppy,USB,Zip,LAN,MS-DOS,Windows 9x/Me,Windows NT series,Windows Vista/7/8,Linux,ReactOS,MenuetOS,*BSD,Mac OS X
