,Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,New mail notification.1,New mail notification.2,New mail notification.3,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with regular expressions support,Indexed search,Search folders [Note 2],IMAP,IMAP.1,IMAP.2,IMAP.3
33,Pocomail,mbox,Yes,Yes,Yes,?,?,?,?,Yes,?,?,Yes,Yes,Yes,?,?,,
34,RoundCube,[IMAP Server],?,?,?,Yes,No,No,Yes,Yes,Yes,?,?,?,Yes,Yes,?,,
35,i.Scribe / InScribe,Proprietary (sqlite),No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,,
36,SeaMonkey Mail & Newsgroups,mbox,?,?,?,Yes,Yes,Yes,Yes,?,?,?,?,?,?,Yes,Yes,,
37,SquirrelMail,[IMAP Server],?,?,?,Yes,No,No,Yes,Yes,Yes,?,?,?,Yes,Yes,?,,
38,Sylpheed,MH,No,Yes,No,?,Yes,?,?,Yes,Yes,No,No [Note 13],No [Note 13],Yes,?,No,,
39,The Bat!,Proprietary,Yes (AES 128 bit) (with Pro and Voyager version) [Note 14],Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes (PCRE 6.2),No,Yes,Yes,Yes,,
40,Trojitá,IMAP,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,
41,Turnpike,Proprietary,Yes,Yes,?,?,?,?,?,?,?,Yes,?,?,Yes,?,?,,
42,Windows Live Mail,File System (.eml),No,No,No,No,Yes,?,Yes,Yes,No,Yes,No,Yes,Yes,?,?,,
43,Windows Mail,?,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?,Yes,,
44,YAM,"mbox, maildir, oe-dbx",No,No,No,?,?,Yes,Yes,Yes,No,No,No,No,No,No,No,,
45,Zimbra,File system,No,Yes,Yes,?,?,?,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
46,Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,New mail notification,New mail notification,New mail notification,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with regular expressions support,Indexed search,Search folders [Note 2],IMAP,IMAP,IMAP,IMAP
47,Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,ticker,tray icon,tooltip,sound,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with regular expressions support,Indexed search,Search folders [Note 2],Search,IDLE,,
