,Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,New mail notification.1,New mail notification.2,New mail notification.3,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with regular expressions support,Indexed search,Search folders [Note 2],IMAP,IMAP.1,IMAP.2,IMAP.3
0,Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,ticker,tray icon,tooltip,sound,Customizable interface,Customizable keybindings,Fragmented messages [Note 1],Database search with regular expressions support,Indexed search,Search folders [Note 2],Search,IDLE,,
1,Alpine,"mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile",?,Yes,Partial,?,?,?,Yes,Yes,No,?,No,Yes,Yes,Yes,No,,
2,Becky! Internet Mail,mbox,?,?,No,Yes,?,Yes,Yes,?,?,?,Yes,?,Yes,Yes,Yes,,
3,Citadel,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
4,Claws Mail,"MH, mbox (plugin)",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,No,Yes,No,,
5,Cone,"mbox, maildir",No,No,No,No,?,?,?,Yes (colors),No,No,No,No,Yes,Yes,Yes,,
6,Courier,Proprietary,Yes (weak),Yes,?,?,?,?,?,Yes (layout),No,?,No,No,Yes,No,Yes,,
7,Elm,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
8,eM Client,Proprietary (sqlite),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,,
9,EmailTray,Proprietary,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,?,?,,
10,Eudora,modified mbox,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes[specify],Yes,Yes,Yes,?,,
11,Eureka Email,Proprietary,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
12,Evolution,"maildir, mbox, MH",No,Yes,No,No,Yes,Yes,Yes,Partial,Yes [Note 3],Yes,Yes,Yes,Yes,Yes,Yes,,
13,Gnus,"babyl, maildir, mbox, MMDF, news, rnews, SOUP, outlook, oe-dbx",No,Yes,No,No,?,?,?,Yes,Yes,Yes,Yes,Yes[Note 4],Yes,Yes,?,,
14,GroupWise,Proprietary,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,,
15,Hiri,Proprietary,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,,
16,IBM Notes,Proprietary,Yes[91],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes [Note 5],No,Yes,Yes,?,No,,
17,KMail,"mbox, maildir",No,Yes,No,?,?,?,?,Yes,Yes,No,Yes,?,Yes,Yes,Yes,,
18,Mailbird,Proprietary,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Partial,Yes,Yes,Yes,,
19,Mailpile,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
20,Microsoft Entourage,Proprietary (Personal Storage Table),?,Yes,Partial [Note 6],?,?,?,?,Partial,No,No,Partial [Note 7],Yes,Yes,Yes,Yes,,
21,Microsoft Office Outlook,Proprietary (Personal Storage Table),Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,?,Yes [Note 8],Yes,Yes,Yes,,
22,Mozilla Mail & Newsgroups,mbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
23,Mozilla Thunderbird,"mbox, maildir",No,Yes,?,?,Yes,Yes,Yes,Yes [Note 9],?,No,?,Yes (as of 3.0),Yes,Yes,Yes,,
24,Mulberry,mbox [Note 10],Partial [Note 11],Partial [Note 11],Partial [Note 11],?,?,?,?,Yes,?,?,Yes[specify],Partial [Note 11],No,Yes,No,,
25,Mutt,"mbox, MMDF, MH, maildir",Yes (with compressed folders patch[92]),? (has limit command),No,?,?,?,?,Yes,Yes,?,Yes,Yes[Note 12],Yes[Note 12],Yes,Yes,,
26,Netscape Messenger,mbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
27,Netscape Messenger 9,mbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
28,nmh / MH,MH,No,Yes,No,No,?,?,?,Yes,Yes,?,Yes,Yes,Yes,No,?,,
29,Opera Mail,"mbox, MH, Proprietary",No,Yes(all folders are virtual),No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?,Yes,,
30,Outlook Express,Proprietary,No,No,No,?,Yes,No,Yes,No,No,Yes,?,No,?,?,Yes,,
31,Pegasus Mail,Proprietary (mbox-like),No,Yes,No,?,Yes,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,No[95],,
32,Pine,"mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile",?,?,?,?,?,?,?,?,?,?,?,?,?,?,No,,
