,Unnamed: 0,Unnamed: 1,Cerberus,Complete,CrushFTP Server,FileZilla,IIS,Multi Server
0,,License type,proprietary,proprietary,proprietary,FLOSS/GPL2,proprietary,proprietary
1,OS,Linux,No,No,Yes,No,No,No
2,OS,Mac OS X,No,No,Yes,No,No,No
3,OS,Unix,No,?,Yes,No,No,No
4,OS,Windows,Yes,Yes,Yes,Yes,Yes,Yes
5,User Interface,CLI,?,?,Yes,?,"Yes, via PowerShell[4]",?
6,User Interface,GUI integrated,Yes,?,Yes,Yes,Yes,?
7,User Interface,GUI(s) separately,Yes,?,?,?,?,?
8,User Interface,Web-based GUI,Yes,Yes,Yes,No,No,?
9,Services,FTP,Yes,Yes,Yes,Yes,Yes,Yes
10,Services,SFTP,Yes,Yes,Yes,No,No,Yes
11,Services,FTPS,Yes,Yes,Yes,Yes,Yes,Yes
12,Services,SCP,Yes,Yes,Yes,No,No,Yes
13,Services,WebDAV,No,No,Yes,No,Yes,No
14,Services,HTTP/HTTPS,Yes,Yes,Yes,No,Yes,Yes
15,Services,AS2,No,No,Yes,No,No,No
16,Authentication,LDAP,Yes,Yes,Yes,No,No,No
17,Authentication,Active Directory,Yes,Yes,Yes,No,Yes,Yes
18,Authentication,Local,Yes,Yes,Yes,Yes,Yes,Yes
19,Authentication,Database,No,Yes,Yes,No,No,Yes
20,High Availability,Failover Cluster(active/passive),Yes,No,Yes,No,Yes,No
21,High Availability,Load Balancing(active/active),Yes,?,Yes,No,Yes,?
22,Automation,Event-handling,Yes,Yes,Yes,No,No,?
23,Automation,Scripting,No,Yes,Yes,No,No,?
24,,,Cerberus,Complete,CrushFTP Server,FileZilla,IIS,Multi Server
