,Code range (hexadecimal),UTF-8,UTF-16,UTF-32,UTF-EBCDIC,GB 18030
0,000000 – 00007F,1,2,4,1,1
1,000080 – 00009F,2,2,4,1,2 for characters inherited fromGB 2312/GBK (e.g. mostChinese characters) 4 foreverything else.
2,0000A0 – 0003FF,2,2,4,2,2 for characters inherited fromGB 2312/GBK (e.g. mostChinese characters) 4 foreverything else.
3,000400 – 0007FF,2,2,4,3,2 for characters inherited fromGB 2312/GBK (e.g. mostChinese characters) 4 foreverything else.
4,000800 – 003FFF,3,2,4,3,2 for characters inherited fromGB 2312/GBK (e.g. mostChinese characters) 4 foreverything else.
5,004000 – 00FFFF,3,2,4,4,2 for characters inherited fromGB 2312/GBK (e.g. mostChinese characters) 4 foreverything else.
6,010000 – 03FFFF,4,4,4,4,4
7,040000 – 10FFFF,4,4,4,5,4
