,Unnamed: 0,2002,2002.1,2002.2,2002.3,2003,2003.1,2003.2,2003.3,2004,2004.1,2004.2,2004.3,2005,2005.1,2005.2,2005.3,2006,2006.1,2006.2,2006.3,2007,2007.1,2007.2,2007.3,2008,2008.1,2008.2,2008.3,2009,2009.1,2009.2,2009.3,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3
0,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,APS-C,SD9,SD9,SD9,SD9,SD9,SD9,SD9,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD10,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD14,SD15,SD15,SD15,SD1,SD1,SD1,SD1,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill,SD1 Merrill
