,Product,Highlight,Annotate,Metadata edit,Dictionary online,Dictionary offline,Wikipedia lookup,Translate,Share,Gesture command,TTS Support (read aloud),Support DRM
0,Aldiko Book Reader,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes
1,AlReader,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,No
2,Bookari,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
3,Cool Reader,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,No
4,EBookDroid,?,?,?,?,?,?,?,?,?,?,?
5,Ebook Reader,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes
6,eReader Prestigio,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
7,FBReader,No,No,Yes,No,Yes,No,No,Yes,No,Plugin[21],No
8,iReader,?,?,?,?,?,?,?,?,?,?,?
9,Kindle,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes
10,Kobo Books,Yes,Yes,?,Yes,Yes,Yes,No,Yes,?,?,?
11,KOReader,Yes,No[22],?,No,Yes,Yes,Yes,?,Yes,No,No
12,Lektz eBook Reader,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
13,Librera,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
14,Moon+ reader,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
15,MReader,Yes,No,No,No,No,No,No,No,No,No,No
16,PocketBook,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,Yes,Yes
17,Snapplify,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
18,Socio eReader,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
19,Product,Highlight,Annotate,Metadata edit,Dictionary online,Dictionary offline,Wikipedia lookup,Translate,Share,Gesture command,TTS Support (read aloud),Support DRM
