,Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
11,FaceTime,"iOS, macOS",Proprietary,Free,"SIP, IETF, Signaling protocol for VoIP, STUN, TURN and ICE| IETF, technologies for traversing firewalls and NAT[disambiguation needed]","H.264 Video, AAC-ELD[disambiguation needed] Audio, H.263 and VP8","RTP, SRTP IETF|standards for delivering real-time and encrypted media streams for VoIP.",20,"Video, voice, conferencing, with additional tools available as ""Services"".",Template:Latest stable software release/FaceTime
12,Google+ Hangouts,"Linux, Windows, macOS, Android, iOS",Proprietary (using libjingle),Free,XMPP,"H.264/SVC, H.264/AVC, H.263 and VP8",SRTP,10,"Video, chat, screen sharing, with additional tools available as ""Hangout Apps"".","Google Chrome Web Store extension 2013.626.1614.1 (July 9, 2013; 6 years ago) [±] [10]"
13,IBM Sametime,"Linux, macOS, Windows, mobile",Proprietary,?,"SIP-SIMPLE, T.120",H.323,TLS,Unknown,"IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes[11]","8.5.2; May 8, 2011; 8 years ago"
14,iCall,"Linux, macOS, Windows, iOS, Android",Proprietary,Free,"SIP, AIM, ICQ, XMPP","Speex, CELT, WebM","TLS, ZRTP",No limit,"Video, file transfer, PC to phone, phone to PC, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), Voicemail",7.1.522
15,Jami by Savoir-faire Linux,"Android, FreeBSD, iOS, iPhone, Linux, Microsoft Windows, OS X[12]",GPL3,Free,"SIP, RTP, STUN per account, SRV, DHT, P2P","Audio: Opus, Speex, G.722, G.711, GSM, VP8, G.729, iLBC. Video: H.264, H.263, VP8, MPEG-4","Voice encryption (SRTP with SDES or ZRTP) and signaling encryption (TLS), multiple realms authentication mechanism",No limit,"Blockchain ID-management, Gnome-KDE client, address book, multiple accounts, unlimited call number, call transfer, call hold-unhold, call recording, multi-way conferencing","iOS2.25 / August 29, 2019; 3 months ago[13]Android20190827 / August 30, 2019; 3 months ago[14]Windows201908271411 / August 28, 2019; 3 months ago [15]macOS1.42 / August 28, 2019; 3 months ago[16]"
16,iOS,"2.25 / August 29, 2019; 3 months ago[13]",,,,,,,,
17,Android,"20190827 / August 30, 2019; 3 months ago[14]",,,,,,,,
18,Windows,"201908271411 / August 28, 2019; 3 months ago [15]",,,,,,,,
19,macOS,"1.42 / August 28, 2019; 3 months ago[16]",,,,,,,,
20,Jitsi,"Linux, macOS, Windows (all java supported). Experimental Android builds are also available.[17]",Apache,Free,"SIP-SIMPLE, XMPP-Jingle STUN ICE, TURN","SILK, G.722, Speex, Opus, G.711 (PCMU/PCMA), iLBC, GSM, G.729, H.264, H.263, VP8","ZRTP, SRTP, OTR, TLS",Unknown,"Text messaging, audio-video telephony, IPv6 (often broken,[18] P2P not supported[19]), call recording, 64-bit","2.10 (build.5550) (February 5, 2017; 2 years ago) [±]"
21,KPhone,Linux (KDE),GPL,Free,"SIP, STUN, NAPTR-SRV",Unknown,SRTP,Unknown,"Video, voice, IM, external Sessions, IPv6 support for UDP",1.2 (November 2008)
22,Librestream Onsight Connect,"Windows, Android, iOS",Proprietary,?,"SIP, RTP, STUN","G.711, H.264, MPEG, and others","TLS, SRTP",Unknown,"Voice, video, conferencing, image sharing, incoming call/IM push notifications.","February 27, 2018; 21 months ago"
23,Linphone,"Linux, Windows, macOS, Android, iPhone, BlackBerry",GPL,Free,SIP,"Speex, Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin)","TLS, SRTP, ZRTP",Unknown,"Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P supported only by version 3.5.1-2)","3.11.1; March 10, 2017; 2 years ago"
24,Messages,macOS,Proprietary,"Free, only macOS and iOS",SIP AIM ICQ XMPP,"H263, H264",Unknown,Unknown,"Integrated, PBX independent","7.0; July 25, 2012; 7 years ago"
25,MicroSIP,Windows,GPL,Free,"SIP, STUN, ICE, SIMPLE","Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM","TLS, SRTP",Unknown,"Video, voice, IM and Presence",3.19.15 May 2019; 7 months ago
26,Mirial Softphone (Mirial s.u.r.l.),"Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86)",Proprietary,not free,"SIP, RTSP",H.323,DTLS-SRTP,Unknown,"H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL)","7.0.24; May 26, 2010; 9 years ago, discontinued"
