,Kernel,Acorn ADFS,Amiga FFS,BeFS,BFS,cramfs,EFS,ext2,ext3,ext4,F2FS,FAT,FreeVxFS,HFS,HFS+,HPFS,ISO 9660,JFFS,JFFS2,JFS,MINIX fs,NSS,NTFS,OCFS,QNX4 FS,System V FS,UDF,UFS,XFS,ZFS,ReiserFS,Reiser4,Btrfs,HAMMER,Tux3,exFAT,ReFS
0,DragonFly BSD kernel,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,limited write,No,No,No,read only,Yes,No,No,No,No,No,Yes,No,No,No
1,FreeBSD kernel,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,limited write,No,No,No,Yes,Yes,read only,Yes,read only,No,No,No,No,?,No
2,Linux kernel,Yes[24],Yes,read only,Yes,Yes,read only,Yes,Yes,Yes,Yes,Yes,read only,Yes,limited write (only with empty journal),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes(Full R/W with additional userspace driver)[25],Yes,Yes[24][26],write support?,Yes,Yes[24],Yes,both FUSE and native,Yes,Yes,Yes,No,Yes,Yes.(Requires userspace driver due to patent concerns[27]),No
3,MINIX 3 kernel,No,No,No,No,No,No,Yes,No,No,No,"Tools available, cannot mount",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,NetWare kernel,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,?,No
5,ReactOS kernel,No,No,No,No,No,No,No,No,No,No,Yes[28],No,No,No,No,Yes[28],No,No,No,No,No,Read only,No,No,No,Yes[28],No,No,No,No,No,Yes[29],No,No,No,No
6,Solaris kernel,?,?,?,?,?,?,Yes,?,?,?,Yes,?,?,?,?,Yes,?,?,?,?,No,No,?,?,?,Yes,Yes,?,Yes,No,No,No,No,No,?,No
7,Windows NT kernel,?,?,?,?,?,?,Yes[30],Yes[31],Yes[31],No,Yes,?,Yes[32],Yes[32],No,Yes,?,?,?,?,No,Yes,?,?,?,Yes,?,?,No,No,No,Yes[29],No,No,Yes,Yes
8,XNU,No,No,No,No,No,No,Yes[33],Yes[33],No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Read-Only,No,No,No,Yes,Yes,No,read only,No,No,No,No,No,Yes,No
