,Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s)[a],Thrust (N)[a],Mass (kg),Thrust:​weight ratio[b],Chamber pressure (bar),Oxidiser:​fuel ratio,Unnamed: 12
0,Aeon 1,USA,Relativity Space,Terran 1,1st,CH4 / LOX,310,"86,740 (SL)[1]",,,,,
1,Aeon 1 Vacuum,USA,Relativity Space,Terran 1,2nd,CH4 / LOX,360,"100,085 (SL)[2]",,,,,
2,AJ-60A,USA,Aerojet,Atlas V,Booster,Solid,275,"1,270,000[3]",,,,,
3,AR1,USA,Aerojet Rocketdyne,Beta (potential)[4],1st,RP-1 / LOX,,"2,200,000 (SL)[5]",,,,2.72,
4,BE-3,USA,Blue Origin,New Shepard,1st,LH2 / LOX,,"490,000[6]",,,,,
5,BE-3U,USA,Blue Origin,New Glenn,2nd,LH2 / LOX,,"710,000[7]",,,,,
6,BE-4,USA,Blue Origin,New GlennVulcan,1st,CH4 / LOX,,"2,400,000[8][9]",,,134[10],,
7,Boeing 601HP[c],USA,Boeing,Boeing 601HP satellites,Vacuum,Xenon,"2,568 @0.5 kW",0.018 @0.5 kW,,,,,
8,CE-20,India,LPSC,GSLV Mk III,Upper,LH2 / LOX,443,200000,588,34.7,60.00,5.05,
9,CE-7.5,India,LPSC,GSLV Mk II,Upper,LH2 / LOX,454[11],"73,500 to 93,100",445,16.85,58,,
10,Engine-2,USA,Launcher Space,Rocket-1,1st,RP-1 / LOX,327[12] 290 (SL),"100,000[12]",,,,2.62,
11,Engine-2 Vacuum,USA,Launcher Space,Rocket-1,2nd,RP-1 / LOX,365[12],"100,000[12]",,,,2.62,
12,GEM 63,USA,Northrop Grumman,Atlas V,Booster,Solid,,"373,800[13]",49300,,,,
13,GEM 63XL,USA,Northrop Grumman,Atlas V,Booster,Solid,,"450,000[14]",53400,,,,
14,Hadley,USA,Ursa Major Technologies,GOLauncher 1[15],1st,RP-1 / LOX,,"22,241 (SL)[16]",,,,,
15,HM-7B,Europe,Snecma,Ariane 2Ariane 3Ariane 4Ariane 5 ECA,Upper,LH2 / LOX,446[17] 310 (SL)[18],"64,800[17] 43,600 (SL)[18]",165[17],43.25,37[17],5,
16,LE-5B,Japan,MitsubishiJAXA,H-IIAH-IIB,Upper,LH2 / LOX,447[19],137000,269,51.93,36.0,5,
17,LE-7A,Japan,MitsubishiJAXA,H-IIAH-IIB,1st,LH2 / LOX,438[20] 338 (SL)[20],"1,098,000870,000 (SL)",1800,62.2,121,5.9,
18,Lightning 1[21],USA,Firefly Aerospace,Alpha,2nd,RP-1 / LOX,322,70100,,,,,
19,Merlin 1D FT,USA,SpaceX,Falcon 9 FTFalcon Heavy,1st,RP-1 / LOX,311,"914,000[22] 845,000 (SL)[22]",470,194.5[22],,,
20,Merlin Vacuum 1D,USA,SpaceX,Falcon 9Falcon Heavy,2nd,RP-1 / LOX,348[23],"934,000[23]",,,,2.36,
21,Mira (LM10),Italy,Avio,Vega E[24],3rd[24],CH4 / LOX[24],362.3[24],"98,100[24]",250[24],40[24],,3.4[24],
22,NewtonThree,USA,Virgin Galactic,LauncherOne,Booster,RP-1 / LOX,,"266,893[25]",,,,,
23,NewtonFour,USA,Virgin Galactic,LauncherOne,2nd,RP-1 / LOX,,"22,241[25]",,,,,
24,NEXT,USA,NASA,,Vacuum,Xenon,"4,100 @6.9 kW",0.236 @6.9 kW,,,,,
25,NK-33A (AJ26-62) 11Д111 / 14Д15,Soviet Union,JSC Kuznetsov,Antares 100Soyuz-2-1v,1st,RP-1 / LOX,331[26]297 (SL),"1,680,0001,510,000 (SL)",1222,136.8,145,,
26,NSTAR[27][28][d],USA,Hughes Electron Dynamics Boeing,Deep Space 1 Dawn,Vacuum,Xenon,"3,100 @2.3 kW",0.0920 @2.3 kW,8.2,,,,
27,P80[29][30]:5[31],Europe,,Vega,1st,HTPB,280,2261000,"96,000 with fuel",,,,
28,P120C[32],Europe,,Ariane 6Vega-C,"Booster, 1st",HTPB[33],279[32],"4,650,000[32]","161,000 with fuel[32]",,,,
29,P230,Europe,SNPE and Avio Spa (Italy),Ariane 5,Booster,HTPB,286[34] 259 (SL),"6,470,000 5,860,000 (SL)","269,000 with fuel[34]",,,,
30,PPS-1350 (СПД-100),Russia,OKB Fakel,SMART-1,Vacuum,Xenon,"1,650 @1.5 kW",0.088 @1.5 kW,5.3,,,,
31,S139,India,SDSC,PSLV,1st,HTPB,269[35],4860000,"160,200with fuel",,58,,
32,Raptor[36],USA,SpaceX,BFR,"1st, 2nd",CH4 / LOX,356[37] 330 (SL),"1,700,000 (SL)","~1,360 (goal)[38]",≥170 (goal)[38],300[39],3.6[40],
33,Raptor Vacuum[36],USA,SpaceX,BFR,"2nd, 1st on Mars",CH4 / LOX,380+[41],"1,900,000[37]","~1,360 (goal)[38]",≤120 (goal)[38],300[39],3.6[40],
34,RD-0124 14Д23,Russia,KBKhA,Soyuz-2.1bSoyuz-2-1vAngara,"2nd, 3rd",RP-1 / LOX,359[42],294300,520,57.7,160,,
35,RD-0146D,Russia,KBKhA,Angara,Upper,LH2 / LOX,470[43],68600,,,59,,
36,RD-107A 14Д22,Russia,NPO Energomash,Soyuz-FGSoyuz-2,1st,RP-1 / LOX,320.2[44] 263.3 (SL),"1,019,892 839,449 (SL)",1090,78.53,61.2,,
37,RD-108A 14Д21,Russia,NPO Energomash,Soyuz-FGSoyuz-2,2nd,RP-1 / LOX,320.6[44] 257.7 (SL),"921,825 792,377 (SL)",1075,75.16,55.5,,
38,RD-171M[e]11Д520,Russia,NPO Energomash,Zenit-2MZenit-3SLZenit-3SLBZenit-3SLBFSoyuz-5,1st,RP-1 / LOX,337.2[45] 309.5 (SL),"7,904,160 7,256,921 (SL)",9300,79.57,250,,
39,RD-180,Russia,NPO Energomash,Atlas VAtlas III,1st,RP-1 / LOX,338.4[46] 311.9 (SL),"4,152,136 3,826,555 (SL)",5480,71.2,261.7,2.72,
40,RD-181,Russia,NPO Energomash,Antares 200,1st,RP-1 / LOX,339.2[47] 311.9 (SL),"2,085,000 1,922,000 (SL)",2200,89,262.6,,
41,RD-191,Russia,NPO Energomash,Angara,1st,RP-1 / LOX,337.5[48] 311.2 (SL),"2,084,894 1,922,103 (SL)",2200,89.09,262.6,,
42,RD-193,Russia,NPO Energomash,Soyuz-2-1v,1st,RP-1 / LOX,337.5[49] 311.2,"2,084,894 1,922,103 (SL)",1900,103.15,,,
43,RD-276 14Д14М,Russia,NPO Energomash,Proton-M,1st,N2O4 / UDMH,315.8[50] 288 (SL),"1,831,882 1,671,053 (SL)",1120,171.2,168.5,,
44,RD-8 11D513,Soviet Union,Pivdenne/Pivdenmash,Zenit,2nd vernier,RP-1 / LOX,342,78450,380,,77.47,2.4,
45,RD-801,Ukraine,Pivdenne/Pivdenmash,Mayak,1st,RP-1 / LOX,,"1,340,000, 1,198,000 (SL)",1630,,180,2.65,
46,RD-805 (RD-802),Ukraine,Pivdenne/Pivdenmash,,Upper,RP-1 / LOX,,,,,,,
47,RD-809 (RD-809M),Ukraine,Pivdenne/Pivdenmash,Antares,Upper,RP-1 / LOX,,,,,,,
48,RD-809K,Ukraine,Pivdenne/Pivdenmash,Mayak,Upper,RP-1 / LOX,,,,,,,
49,RD-810,Ukraine,Pivdenne/Pivdenmash,"Mayak, Zenit",1st,RP-1 / LOX,,"2,105,000 1,876,000 (SL)",2800,,180,2.65,
50,RD-843,Ukraine,Pivdenne/Pivdenmash,Vega,upper,N2O4 / UDMH,315.5,2452000,15.93,,20.4,2.0,
51,RD-861K,Ukraine,Pivdenne/Pivdenmash,(Cyclone-4M),3rd,N2O4 / UDMH,,,,,,,
52,Reaver 1[21],USA,Firefly Aerospace,Alpha,1st,RP-1 / LOX,295.6,184000,,,,,
53,RL-10A-4-2[51],USA,Aerojet Rocketdyne,Atlas IIIB Atlas V,Upper,LH2 / LOX,451,99195,168,60.27,42,5.5,
54,RL-10B-2[51],USA,Aerojet Rocketdyne,Delta IIIDelta IVSLS,Upper,LH2 / LOX,465.5,110093,301,37.27,44,5.88,
55,RL-10C-1[51],USA,Aerojet Rocketdyne,"Delta IIIDelta IVSLS,Vulcan",Upper,LH2 / LOX,450,101820,191,54.5,44,5.5,
56,RS-25 (SSME)[f],USA,Rocketdyne,Space ShuttleSLS,1st,LH2 / LOX,452.3366 (SL),"2,279,0001,860,000 (SL)[52]",3526,53.79,206.4,,
57,RS-68A[g],USA,Rocketdyne,Delta IVDelta IV Heavy,1st,LH2 / LOX,414[53]365 (SL),"3,560,000 3,137,000 (SL)",6747,53.80,196[unreliable source?],,
58,Rutherford,New Zealand USA,Rocket Lab,Electron,1st,RP-1 / LOX,311,"24,465 16,890 (SL)",,,,,
