,Gender of possessed item,Spanish,Spanish.1,Portuguese,Portuguese.1
0,Gender of possessed item,Adjective,Pronoun,Adjective,Pronoun
1,Feminine,"tu/su casa ""your house""","la tuya/la suya ""yours""","(a) sua casa""your house""","a sua""yours"""
2,Masculine,"tu/su libro ""your book""","el tuyo/el suyo ""yours""","(o) seu livro""your book""","o seu""yours"""
