,Client,First public release,First public release.1,First stable release,First stable release.1,Latest stable release
0,Client,Date,Version,Date,Version,Latest stable release
1,AndroidChat,2008,,,,"2008-12-29 (December 29, 2008; 10 years ago) [±]"
2,Colloquy (software),"January 28, 2009",1.0,,,"2.4.3 (6011) (March 22, 2014; 5 years ago) [±]"
3,fIRC,"December 22, 2008",0.1.0,,,"0.2.11 (March 26, 2009; 10 years ago) [±]"
4,jmIrc,"May 14, 2004",0.60,,,"0.96 (November 23, 2009; 9 years ago) [±]"
5,k-IRC,"August 20, 2002",1.0,,,"1.1 (October 4, 2003; 16 years ago) [±]"
6,Virca,2003,0.0.1,,,"1.1.20 (November 22, 2004; 14 years ago) [±]"
7,wIRC,,,,,"0.3.2 (September 6, 2010; 9 years ago[3]) [±]"
8,WLIrc,"September 15, 2003",0.90,,,"2.0.1 (August 16, 2007; 12 years ago) [±]"
9,Yaaic,"March 14, 2010",0.1,,,"0.9 (July 17, 2011; 8 years ago) [±]"
10,Simple IRC,"November 18, 2016",1.0,,,"1.7 (December 23, 2016; 2 years ago) [±]"
11,zsIRC,"June 13, 2006",,,,"2009.12.26 (December 26, 2009; 9 years ago[4]) [±]"
12,Client,Date,Version,Date,Version,Latest stable release
13,Client,First public release,First public release,First stable release,First stable release,Latest stable release
