,Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
0,System wide base text size,Yes,Yes[105][106][107],Yes,Yes[108],?,2.1.0+: Set text size[109],?
1,Monaural output,Yes,Yes,No,No,No,No,No
2,Always visible scrollbar,No,No,No,No,No,No,No
3,Reduced Animations,Yes,Yes,No,No,No,No,No
