,Spanish,Portuguese,English
0,nuevo [ˈnwe̞βo̞],novo [ˈnovu],new (m. sg.)
1,nueva [ˈnwe̞βa],nova [ˈnɔvɐ],new (f. sg.)
2,nuevos [ˈnwe̞βo̞s],novos [ˈnɔvuʃ],new (m. pl.)
3,nuevas [ˈnwe̞βas],novas [ˈnɔvɐʃ],new (f. pl.)
