,Ido,IPA,Novial
0,"A, a",/a/,"A, a"
1,"B, b",/b/,"B, b"
2,"C, c",/ts/,"TS, ts"
3,"CH, ch;",/tʃ/,"CH, ch"
4,"D, d",/d/,"D, d"
5,"E, e",/e/ or /ɛ/,"E, e"
6,"F, f",/f/,"F, f"
7,"G, g",/ɡ/,"G, g"
8,"Dj, dj",/dʒ/,"J, j"
9,"H, h",/h/,"H, h"
10,"I, i",/i/,"I, i"
11,"J, j",/ʒ/,"J, j"
12,"K, k",/k/,"K, k"
13,"L, l",/l/,"L, l"
14,"M, m",/m/,"M, m"
15,"N, n",/n/,"N, n"
16,"O, o",/o/ or /ɒ/,"O, o"
17,"P, p",/p/,"P, p"
18,"QU, qu",/kw/ or /kv/,"QU, qu"
19,"R, r",/r/,"R, r"
20,"S, s",/s/,"S, s (also Z,z)"
21,"SH, sh",/ʃ/,"SH, sh"
22,"T, t",/t/,"T, t"
23,"U, u",/u/,"U, u"
24,"W, w",/w/,"W, w (before a vowel) U, u (after a vowel)"
25,"V, v",/v/,"V, v"
26,"X, x",/ks/ or /ɡz/,"X, x"
27,"Y, y",/j/,"Y, y"
28,"Z, z",/z/,"Z, z (also S, s)"
