,Name,Parsing algorithm,Input grammar notation,Boolean grammar abilities,Development platform,License
0,LuZc[6][7],delta chain,modular,"Conjunctive, not complimentary",POSIX,Proprietary
1,bnf2xml,Recursive descent (is a text filter output is xml),"simple BNF[clarification needed] grammar (input matching), output is xml",?,"Beta, and not a full EBNF parser","Free, GNU GPL"
