,Unnamed: 0,Display,Resolution,Colors,Controller,Game media,Operating System
0,GP2X,"3.5"" Backlit TFT LCD",320 × 240,"262,144 colors (F100) ; 16.77 million colors (F200)",Eight-Directional Digital Stick,Secure Digital Memory Cards,
1,GPD Win,"5.5"" backlit H-IPS touchscreen",1280 × 720,,"2x analog sticks, D-pad, 4 face buttons, 4 shoulder buttons, 67-button QWERTY keyboard, touchscreen","Various, incl. but not limited to: Digital download, video game ROM .ISO image, MicroSD card",Windows 10
2,GPD Win 2,"6"" backlit H-IPS touchscreen (w/wireless Miracast and Intel WiDi support)","1280 × 720 (w/4K video support, 4096x2304 max)",,"2x analog sticks, D-pad, 4 face buttons, 6 shoulder buttons, 80-button QWERTY keyboard, touchscreen","Various, incl. but not limited to: Digital download, video game ROM .ISO image, MicroSD card",Windows 10
3,Pandora,"4.3"" Backlit LCD touchscreen",800 × 480,"16,777,216 colours","Two analogue nubs, 4-Way D-pad, 2 shoulder buttons, 46 key qwerty keyboard, touchscreen","SD, SDHC and SDXC",
4,Game Boy Micro,2 in. LCD,240 × 160,"32,768 colors",D-pad,Proprietary solid-state cartridge,
5,Gizmondo,2.8 in. LCD,240 × 320,"65,536 colors",Four-directional digital pad,SD card or downloadable,Windows CE
6,PlayStation Portable,4.3 in. LCD,480 × 272,"16,777,216 colours","Four-directional digital pad, analog thumbstick",UMD or memory stick,
7,GCW Zero,"3.5"" Backlit TFT LCD",320 × 240,"262,144 colors","8-directional digital pad, analog joystick, L/R shoulder buttons, ABXY action buttons, start & select buttons, power slider",micro SDHC and micro SDXC,
8,Nintendo DS,Two 3 in. LCDs,256 × 192 (×2),"262,144 colors","D-pad, stylus-driven touchscreen",Proprietary matrix memory cards,
9,N-Gage QD,2.1 in. LCD,176 × 208,"4,096 colors",Four-directional digital pad,MMC or downloadable,
10,Timetop Gameking 1 & 2,2.1 in. Reflective LCD (Backlit in Gameking 2).,48 × 32,4 shades of gray,Four-directional digital pad,Proprietary solid-state cartridge,
11,GP32,3.5 in. TFT,320 × 240,"65,536 colors",Four-directional digital stick,Rewritable SmartMedia,
12,Dingoo A320,2.8 in. LCD,240 × 320,"65,536 colors","Four-directional digital pad, shoulder buttons, action buttons, start & select buttons","Built-in, miniSD card or downloadable",μC/uOS-II Linux
13,Tapwave Zodiac,3.8 in. LCD,480 × 320,"65,536 colors","8-directional analog thumbstick, stylus-driven touchscreen",SD card or downloadable,
14,N-Gage,2.1 in. LCD,176 × 208,"4,096 colors",Four-directional digital pad,MMC N-Gage Arena,Symbian OS 6.1 (Series 60)
15,Game Boy Advance SP,2.9 in. LCD,240 × 160,"32,768 colors",D-Pad,Proprietary solid-state cartridge,
16,Game Boy Advance,2.9 in. LCD,240 × 160,"32,768 colors",D-Pad,Proprietary solid-state cartridge,
17,Swan Crystal,2.8 in. TFT LCD,224 × 144,"4,096 colors, 241 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
18,WonderSwan Color,2.8 in. FSTN reflective LCD,224 × 144,"4,096 colors, 241 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
19,WonderSwan,2.49 in. FSTN Reflection LCD,224 × 144,,Four-directional digital pad,Proprietary solid-state cartridge,
20,Game Boy Color,TFT LCD,160 × 144,"32,768 colors; 10, 32 or 56 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
21,Neo Geo Pocket Color,TFT LCD,160 × 152,"4,096 colors, 146 simultaneous",8-directional digital thumbstick,Proprietary solid-state cartridge,
22,Neo Geo Pocket,TFT LCD,160 × 152,16 palettes per plane?,8-directional digital thumbstick,Proprietary solid-state cartridge,
23,game.com,3.9 in. LCD,200 × 160,4,"Four-directional digital pad, touchscreen",Proprietary solid-state cartridge,
24,Game Boy Light,Backlit Reflective LCD,160 × 144,4,D-Pad,Proprietary solid-state cartridge,
25,Game Boy Pocket,Reflective LCD,160 × 144,4,D-Pad,Proprietary solid-state cartridge,
26,Sega Nomad,3 in. LCD,320 × 224,"512 available, 64 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge (compatible with Sega Genesis),
27,Mega Duck/Cougar Boy,"2.7"" (48 (h) x 51 (w) mm) STN dot matriix",160 × 144,4 monochrome green shades,Four-directional digital pad,Proprietary solid-state cartridge,
28,Watara Supervision,"3.4"", 61 mm x 61 mm (2.37"" x 2.37"") LCD SuperVision FAQ",160 × 160 pixel display,4 monochrome green shades,Four-directional digital pad,Proprietary solid-state cartridge,
29,Atari Lynx II,"3.5"" LCD",160 × 102,"4096 (12-bit), 16 per scanline",Four-directional digital pad,Proprietary solid-state cartridge,
30,Game Gear,3.2 in. LCD,160 × 144,"4,096 available, 32 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
31,TurboExpress,TFT LCD,256 × 256,512,Four-directional digital pad,Proprietary solid-state cartridge (compatible with TurboGrafx-16),
32,Game Boy,Reflective LCD,160 × 144,4,D-Pad,Proprietary solid-state cartridge,
33,Atari Lynx,"3.5"" LCD (diagonal); 3.25"" x 1.88""[23]",160 × 102,"4096 (12-bit), 16 per scanline",Four-directional digital pad,Proprietary solid-state cartridge,
34,Game Pocket Computer,LCD,75 × 64,2,Four-directional control pad,Proprietary solid-state cartridge,
35,Microvision,LCD,16 × 16,4,"12 button keypad, one paddle",Proprietary solid-state cartridge,
36,Mi2 console,3.5 in. LCD,240 × 320,"""full color""","Four-directional digital pad, shoulder buttons, action buttons, menu buttons, touch-screen, camera and motion sense","built in, SD card or downloadable",
37,Xperia PLAY,"4""",854 × 480,16M colors,Touchscreen Accelerometer Touchpad 20× buttons,Google Play,Android 2.3.7 (Unofficial 5.1)
