,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,Prince XML
0,MathML,No,No,1.0,No[w 1],No,2.1,6.0
1,SVG,5.0,No,1.8,522,3.2,1.0,5.1
2,XForms,No,No,No[g 3],No[w 2],No,No,?
3,VoiceXML,No,No,No,No,No,1.0,No
