,Standard or Revision,Network Compatibility
0,"GSM (1991), GPRS (2000), EDGE (2003)","GSM (2G, TDMA)"
1,cdmaOne (1995),"cdmaOne (2G, CDMA)"
2,"EV-DO (1999), Rev. A (2006), Rev. B (2006), SVDO (2011)","CDMA2000 (3G, CDMA/TDMA)"
3,"UMTS (1999), HSDPA (2005), HSUPA (2007), HSPA+ (2009)","UMTS (3G, CDMA)"
4,"LTE (2009, 3G), LTE Advanced (2011, 4G)",4G
5,"5G NR (2018, 5G)",5G
