,Attribute,Deprecated for,Function,Supported first by,Trident,Gecko,WebKit,KHTML,Presto
0,bgproperties,body,Determines whether background image scrolls with the background,Internet Explorer,3.1,No,Yes,Yes,No
1,bordercolor,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,3.1,No,Yes,Yes,No
2,bordercolordark,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,3.1,No,No,No,No
3,bordercolorlight,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,3.1,No,No,No,No
4,controls,img,Uses the img element to place video or audio clips,Internet Explorer,3.1,No,No,No,No
5,dynsrc,img,Uses the img element to place video or audio clips,Internet Explorer,3.1,No,No,No,No
6,event,script,Defines function to call for an object.,Internet Explorer,3.1,Partial,?,?,?
7,for,script,Defines the object to bind a scripting event.,Internet Explorer,3.1,Partial,?,?,?
8,frame,table,Controls the display of the outer borders of a table in the table tag,Internet Explorer,3.1,Yes,?,Yes,No
9,framespacing,frameset,Sets the amount of space between frames,Internet Explorer,3.1,?,?,No,No
10,leftmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,Yes,No
11,loop,img,Uses the img element to place video or audio clips,Internet Explorer,3.1,No,No,No,No
12,rightmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,No,No
13,start,img,Uses the img element to place video or audio clips,Internet Explorer,3.1,No,No,No,No
14,target,form,Specifies a target window or frame for the output of a form,Internet Explorer,3.1,No[18],?,Yes,No
15,valign,caption,Sets vertical alignment of table caption,Internet Explorer,3.1,?,?,No,No
