,Name,License,Deployment,Platforms
0,Cacoo (Software),Proprietary,SaaS,"Windows, macOS"
1,ConceptDraw PRO,Proprietary,Desktop,"Windows, macOS"
2,Microsoft Visio,Proprietary,Desktop,Windows
3,SmartDraw,Proprietary,Desktop,Windows
4,Lucidchart,Proprietary,SaaS,"Linux, macOS, Windows"
5,Gliffy,Proprietary,SaaS,"Linux, macOS, Windows"
