,Client,License,First stable release,First stable release.1,Latest stable release
0,Client,License,Date,Version,Latest stable release
1,Akregator,GNU GPL,?,?,"19.08.2 (October 10, 2019)"
2,Amarok,GNU GPL,?,?,"2.9 (March 7, 2018; 20 months ago) [±]"
3,AOL Explorer,Proprietary,"June, 2005",1.0,"1.5 (May 10, 2006)"
4,Avant,Proprietary,"August, 2004",?,"2019 Build 2 (May 18, 2019; 6 months ago[1]) [±]"
5,Awasu,Proprietary,"February, 2003",1.0,"3.1 (April 26, 2017)"
6,BlogBridge,GNU GPL,?,?,6.7
7,Bloglines,Proprietary,?,?,Merged with NetVibes
8,CakeReader,Proprietary,2015,?,"(web site, continuous updates)"
9,Canto,GNU GPL,"January 14, 2009",0.6.0,"0.9.7 (July 31, 2017)"
10,Claws Mail,GNU GPL,"January, 2005",1.0.0,"3.17.4 (July 26, 2019; 4 months ago[2]) [±]"
11,CommaFeed,Apache License,?,?,"2.4.0 (August 1, 2017)[3]"
12,Cooliris,?,?,?,?
13,Digg Reader,Proprietary,?,?,"Discontinued on March 26, 2018"
14,Feed Viewer,Proprietary,"April, 2006",1.0,"31 (September 12, 2014)"
15,FeedDemon,Proprietary,?,?,"4.5.0.0 (Final release on June 19, 2013)[4]"
16,Feedly,Proprietary,2008,?,"(web site, continuous updates)"
17,Feedreader,Proprietary,?,?,"3.14 (April 20, 2009[5])"
18,Flipboard,Proprietary,?,?,
19,Flock,Proprietary,"November 2, 2007",1.0,"3.5.3.4641 (February 1, 2011; 8 years ago) [±]"
20,Gnus,GNU GPL,"February 1, 1988[6]",?,
21,Google Reader,Proprietary,"September 17, 2007",2.0,"Discontinued on July 1, 2013[7]"
22,IBM Lotus Notes,Proprietary,1989,1.0,"10.0.1 (December 18, 2018; 11 months ago) [±]"
23,Inoreader,Proprietary,?,?,"(web site, continuous updates)[8]"
24,iTunes,Proprietary freeware,?,?,"12.9.2 (December 5, 2018; 11 months ago) [±]"
25,Juice,GNU GPL,?,?,2.2
26,K-Meleon,GNU GPL,"November 26, 2000",0.2,"75.1 (September 19, 2015; 4 years ago[9]) [±]"
27,Kazehakase,GNU GPL,"January 29, 2003",?,"0.5.8 (September 29, 2009; 10 years ago) [±]"
28,Liferea,GNU GPL,?,?,"1.12.5 (September 8, 2018; 14 months ago[10]) [±]"
29,Mail (OS X),Proprietary,?,?,"5.2 (1257) (February 1, 2012)"
30,Maxthon,Proprietary,"September 8, 2005",1.0.0250,"Windows5.3.8.2000 / October 25, 2019; 39 days ago[11]Android5.2.3.3241 / January 25, 2019; 10 months ago[12]Mac5.1.60 / August 27, 2018; 15 months ago[13]iOS5.3.2 / September 21, 2019; 2 months ago[14]Windows Phone2.2.0 / March 30, 2017; 2 years ago[15]Linux1.0.5.3 / September 9, 2014; 5 years ago[16]"
31,Windows,"5.3.8.2000 / October 25, 2019; 39 days ago[11]",,,
32,Android,"5.2.3.3241 / January 25, 2019; 10 months ago[12]",,,
33,Mac,"5.1.60 / August 27, 2018; 15 months ago[13]",,,
34,iOS,"5.3.2 / September 21, 2019; 2 months ago[14]",,,
35,Windows Phone,"2.2.0 / March 30, 2017; 2 years ago[15]",,,
36,Linux,"1.0.5.3 / September 9, 2014; 5 years ago[16]",,,
37,MediaMonkey,Freemium,?,?,"4.1.24 (March 28, 2019; 8 months ago) [±]"
38,Microsoft Office Outlook,Proprietary / Commercial software,1997,97,"15.0.4517.1509 (January 29, 2013)"
39,Mozilla Firefox,MPL,"September 23, 2002",0.1,"Builtin RSS reader was removed in Version 64, Available as an add-on. [17][18][19] Standard71.0 / December 3, 2019; 0 days ago[20]Extended Support Release68.3.0 / December 3, 2019; 0 days ago[21]"
40,Standard,"71.0 / December 3, 2019; 0 days ago[20]",,,
41,Extended Support Release,"68.3.0 / December 3, 2019; 0 days ago[21]",,,
42,Mozilla Thunderbird,MPL,"December 7, 2004",1.0,"68.3.0[22] (December 3, 2019; 0 days ago) [±]"
43,My Yahoo!,,?,?,?
44,NetNewsWire,MIT license [23],"February 11, 2003",1.0,"5.0 (August 26, 2019)"
45,Netscape Browser,Proprietary,"May 19, 2005",8.0,"8.1.3 (April 2, 2007; 12 years ago) [±]"
46,Netscape Navigator 9,Proprietary,"October 15, 2007",9.0,"9.0.0.6 (February 20, 2008)"
47,Netvibes,Proprietary,?,?,?
48,News360,Proprietary,"November, 2010",?,?
49,NewsAccess,?,?,?,?
50,NewsBlur,MIT license [24],"October 26, 2010",1.0,4.0
51,NewsFire,Proprietary,?,?,2.0
52,OmniWeb,Proprietary,"March 17, 1995",1.0,"5.11.2 (July 23, 2012; 7 years ago) [±]"
53,Opera Mail,Proprietary,"December, 1996",2.1,"1.0.1044[25] (February 16, 2016; 3 years ago) [±]"
54,Pegasus Mail,"Proprietary, Donationware",1990,?,4.73 (7 June 2018; 17 months ago[26]) [±]
55,Protopage,Proprietary,"May, 2005",1.0,11.43 (December 2015)
56,Pulse,?,?,?,?
57,QuiteRSS,GNU GPL v3,"Dec, 2014",0.14.0,0.18.12 (02.07.2018)
58,Rhythmbox,GNU GPL,?,?,"3.4.2 (October 8, 2017; 2 years ago) [±]"
59,RSS Bandit,BSD license,"March, 2003",1.0,"1.9.0.1002 (July 4, 2010)"
60,RSSOwl,EPL,"December 19, 2004",1.0,"2.2.1 (December 30, 2013; 5 years ago) [±]"
61,Safari,Proprietary,?,?,"macOS13 / September 19, 2019; 2 months ago[27]iOS13 / September 19, 2019; 2 months ago[28]"
62,macOS,"13 / September 19, 2019; 2 months ago[27]",,,
63,iOS,"13 / September 19, 2019; 2 months ago[28]",,,
64,Sage,MPL,?,?,"1.5.5 (June 16, 2017)"
65,Shiira,BSD license,?,?,"2.3 (August 11, 2009; 10 years ago) [±]"
66,Sleipnir,Proprietary,"October, 2005",2.00,"Windows (Sleipnir 6) 6.4.3.4000 (November 26, 2019; 7 days ago[29]) Windows (Sleipnir 4) 4.7.2.4000 (November 26, 2019; 7 days ago[30]) macOS 4.7.2 (November 5, 2019; 28 days ago[31]) iOS 4.5.7 (November 26, 2019; 7 days ago[32]) Android 3.5.17 (September 30, 2019; 2 months ago[33]) [±]"
67,Songbird,GNU GPL,?,?,"2.2.0, Build 2453 (February 4, 2013; 6 years ago) [±]"
68,The Bat!,Shareware,"March, 1998",1.00 Build 1310,"9.0.8 (December 2, 2019; 1 day ago) [±]"
69,The Old Reader,Proprietary,"June 12, 2012[34]",Beta,Beta[35]
70,Tiny Tiny RSS,GNU GPL,?,?,"rolling releases, most recent February 2019[36]"
71,Winamp,Freemium,?,?,"5.8.3660 (October 19, 2018; 13 months ago) [±]"
72,Windows Live Mail,Proprietary,?,?,"2012 (v16.4.3528.0331) (November 4, 2014; 5 years ago) [±]"
73,Zimbra,Zimbra licensing,"March, 2006",3.5,"7.1.3 (November, 2011)"
74,Zune,Proprietary,?,?,"4.08.2345 (August 22, 2011; 8 years ago) [±]"
75,Client,License,Date,Version,Latest stable release
76,Client,License,First stable release,First stable release,Latest stable release
